,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
NCI-H358,-0.13764104,0.050369177,0.012269821,-0.023442432,0.00014011562,0.49850783,-0.0045155585,-0.0934733,-0.50200033,0.07708768,-0.79160726,-0.24794856,0.38581973,-0.07116334,-0.4920591,0.4200707,-0.23414126,-0.3247506,0.038412414
HLE,0.062369764,-0.60140896,-0.053670093,-0.5208794,-0.24860594,-0.26179636,0.92961633,0.2957305,-0.0909615,0.034590863,0.27099073,-0.15796453,-0.90181684,0.22832242,-0.25237563,0.0047363937,-0.10453885,0.14049271,0.043323897
SET-2,2.06737,1.1249341,0.4876391,1.4273472,-0.10436481,1.7449381,-1.3431618,-0.7295263,-1.9768395,-0.69774574,0.4651208,-0.55856144,0.91577953,-0.25520128,1.6946001,2.3325605,1.0481422,0.57215345,-0.43660152
Kelly,-0.43268827,0.15177572,-0.30530232,0.72076917,1.0512524,0.30907613,1.624208,1.370862,1.1355907,-1.9140072,0.28057113,0.411758,-0.45757192,0.08091682,-0.7978022,0.6064922,-0.5805355,0.75371367,0.16815001
EM-2,-0.30733246,0.94583505,0.76161814,-0.31379658,0.34483093,3.0491529,0.4228108,0.992105,-2.2038372,-3.381327,-0.67129433,2.1545424,1.2940855,-0.8358244,-0.300084,3.2320352,-1.3972858,-0.7981656,-0.21076804
SNU-475,0.10094991,-1.138926,0.035516486,-1.0608826,-0.21912347,-0.73629147,1.3888783,0.39438996,-0.1817112,0.007540956,0.5421091,-0.17884095,-1.193773,0.40194798,-0.67018306,-0.11688936,-0.095170945,0.042699605,0.15125799
DFCI024,0.74777055,0.15049022,-0.57596695,1.1809882,-0.05106499,-1.6497247,-0.20863439,-1.0535815,0.15477246,1.7407913,-0.6112108,-2.4135818,-1.0848054,0.21230832,0.39955598,-1.3379071,2.2336044,1.0867759,0.38564885
NCI-H1341,0.44743645,0.44622752,-0.23520757,1.4308901,0.39874458,-1.2823951,0.1347372,0.2703601,1.0725853,0.23031664,0.24179909,-0.87064236,-0.11622257,-0.013945527,0.3446018,-0.20365283,1.187782,0.3832063,-0.21535784
Reh,-1.2226382,1.7256395,1.3634973,-1.5483981,1.4143481,6.0775223,1.4875157,2.9236107,-1.2630205,-7.8979387,-0.32732373,4.9416947,3.2363348,-3.0655699,-1.6018956,7.063262,-5.395254,-2.0908303,-0.5542188
SK-MEL-1,-0.23922548,-0.7059161,0.08489706,-1.1440184,-0.14531536,-0.09884095,0.9188183,0.0633077,-0.08076934,0.061995663,0.053557463,0.069873884,-1.3695279,0.52032506,-0.34475982,-0.3584066,-0.47507945,-0.123253204,0.34964064
Hs 737.T,0.72874343,-1.4864929,-1.3673164,0.2634784,0.16558567,-4.001667,2.300957,-0.07942818,1.0311166,2.6314998,1.2541875,-3.260813,-3.945087,0.6666822,-0.03625405,-2.8042083,3.3743868,1.3379844,0.04255086
5637,-0.5678639,-0.14416005,0.048691362,0.075119495,0.5127139,-0.26226613,0.31919485,-0.062069446,-0.3020074,0.13362622,-0.8538078,-0.62333167,0.34772956,-0.66804373,-0.6234294,-0.5434563,0.38210183,-0.26804683,0.40164545
NCI-H2141,0.76825684,2.2993305,0.071731925,4.6051598,1.5701234,-2.480085,0.2460012,0.57576543,2.9077363,0.39079225,0.5189018,-2.574452,0.38445267,-0.12331882,0.353578,-1.2014707,2.7080185,1.420275,-0.49337846
SJSA-1,0.021163132,-1.1971536,-0.15830532,-1.0039306,-0.43066794,-1.2628009,1.5504758,0.45356494,0.20100231,0.0890991,0.9094893,-0.19931045,-1.549428,0.36095637,-0.297708,-0.42825967,0.095799804,0.07318242,0.15518653
NALM-19,-1.2579463,2.0529792,1.4736325,-1.9034532,1.5683898,7.4616394,1.9341761,3.52616,-1.6511573,-9.419879,-0.6439527,5.758334,3.8291173,-3.549541,-2.1673493,8.432804,-6.6655493,-2.1871119,-0.81396943
CAL-27,-0.22561431,0.039778866,-0.069101945,0.57552123,0.3479032,-0.6284849,-0.29064292,-0.6233883,-0.69437057,0.20624463,-1.1645588,-0.96445787,0.3262513,-0.78934216,-0.5263939,-0.121169776,0.7348379,-0.64551973,0.31742418
COV362,0.34507588,-0.56738687,-0.41656294,-0.32562017,0.09711322,-0.368495,0.70951873,0.041502986,0.1190203,0.416908,0.10063735,-0.42288962,-0.59426427,-0.054873556,-0.025196403,-0.26204196,0.2048879,0.37579572,-0.21245262
EJM,-1.0996311,1.4851491,1.3994952,-0.7252856,1.3970671,3.2805777,0.9602641,2.0860975,-0.88741815,-4.810823,-0.41863143,3.0059276,2.32388,-1.7462373,-1.4056468,4.6064386,-3.1596131,-1.6515961,-0.23603384
HCC1143,-0.21527633,0.114578985,-0.16701528,0.1126018,0.2311902,-0.65509665,-0.25750753,-0.6251317,-0.44679046,0.89488673,-0.8516878,-1.490305,-0.15631092,-0.39796126,-0.36375302,-0.58231056,0.7934481,-0.028325833,0.5107471
A-549,0.103129655,-0.44036373,0.10069156,-0.27424937,-0.24804619,-0.43876597,0.6312423,0.07882792,-0.09640161,0.42848665,0.037385553,-0.39301288,-0.69302607,0.22163509,-0.34804887,0.08936143,0.28638992,0.17084806,0.04871276
PLC/PRF/5,-0.30496582,0.14347374,-0.12350632,0.46805292,0.014154479,-0.049172804,0.119381376,-0.17497814,-0.0012879893,0.40587893,-0.23126432,-0.47261822,-0.42003384,-0.26419967,-0.38695562,0.13558364,0.14244561,0.1960114,0.16028363
HCC1806,0.1573177,0.7348114,-0.37894058,0.9291735,0.36695248,-0.452995,-0.62719774,-0.7832099,-0.45724842,0.78281415,-0.9017342,-1.3555638,0.3486461,-0.6756661,-0.31445938,-0.45987317,1.184727,-0.12370047,0.050906245
FTC-238,0.21564646,-0.77926713,-0.05863661,-0.6816008,-0.21299371,-0.48044148,1.0253408,0.31704855,-0.08188458,0.055411234,0.25669017,-0.22339353,-1.039653,0.23263848,-0.16310291,-0.07246487,-0.05550185,0.1866442,-0.17248312
NCI-H684,1.1356316,2.381071,-0.07584132,3.5011353,0.3363587,-0.8687755,-1.9560933,-0.7562233,-0.21911007,2.3658278,-1.7032958,-2.4724476,1.2079034,-0.29893985,-0.7941517,-0.5527438,1.9803929,1.7515664,-0.17327717
K-562,1.1729131,0.68232715,0.26331967,0.90320456,-0.11141145,0.75462735,-0.80367833,-0.2008373,-1.3252481,-0.08690574,0.0055067022,-0.28751653,0.518638,-0.061539024,0.6965184,1.1660013,0.7771706,0.56589615,-0.50113493
COLO 818,-0.015296906,-1.3881757,0.12549643,-1.7980986,-0.14969015,-0.92283106,1.7115154,0.031330757,0.014433235,0.40307173,0.49403048,-0.3125653,-2.1461215,0.8615562,-0.33645058,-0.9226758,-0.13138518,-0.10483116,0.31840616
DV-90,-0.001365006,1.1688266,0.47566882,1.5013775,0.30430192,-0.2791039,-0.8373843,-0.21055053,-0.3842942,0.72866225,-0.7128469,-0.67549014,0.8873415,-0.5659337,-0.6703664,0.15652925,0.41182372,0.24661246,-0.115258805
OC 315,0.12546171,-0.29313925,-0.23251553,-0.34921232,0.07158169,-0.28838086,0.38846356,-0.039800033,-0.3701973,0.15554129,-0.30728424,-0.460543,-0.20765689,0.0012130588,-0.14937456,-0.036616825,0.0645739,0.29007292,0.21112055
