target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,all,KRAS,0.004069511882239307,IntegratedGradients
Erlotinib,0,,all,MSH6,0.0003032956778617117,IntegratedGradients
Erlotinib,0,,all,TSC1,0.0005212733023799234,IntegratedGradients
Erlotinib,0,,all,TP53,0.0009011681313394203,IntegratedGradients
Erlotinib,0,,all,BRAF,0.0002637788127904334,IntegratedGradients
Erlotinib,0,,all,APC,0.0018187095573374275,IntegratedGradients
Erlotinib,0,,all,JAK2,0.00017787756361254084,IntegratedGradients
Erlotinib,0,,all,PTEN,0.0001881374730978702,IntegratedGradients
Erlotinib,0,,all,NF1,0.0011022582276525705,IntegratedGradients
Erlotinib,0,,all,BRCA2,0.0001787199479881392,IntegratedGradients
Erlotinib,0,,all,PIK3R1,0.00026010562867684886,IntegratedGradients
Erlotinib,0,,all,SMARCA4,0.00026184806331556315,IntegratedGradients
Erlotinib,0,,all,CDH1,0.0008921798927741198,IntegratedGradients
Erlotinib,0,,all,GNAS,0.0005293777445965258,IntegratedGradients
Erlotinib,0,,all,TNFRSF17,0.0002467226331812367,IntegratedGradients
Erlotinib,0,,all,SOX10,0.0002662553629653297,IntegratedGradients
Erlotinib,0,,all,IKZF1,0.0001986691990030113,IntegratedGradients
Erlotinib,0,,all,BTK,0.0003624272329146602,IntegratedGradients
Erlotinib,0,,all,VPREB3,0.00022635507704611363,IntegratedGradients
Erlotinib,0,,all,YAP1,0.00037940958345446084,IntegratedGradients
Erlotinib,0,,all,MLANA,0.00019812703914340744,IntegratedGradients
Erlotinib,0,,all,MZB1,0.00012069010037576861,IntegratedGradients
Erlotinib,0,,all,KLF1,0.0003315123862742679,IntegratedGradients
Erlotinib,0,,all,GRHL2,0.0011028345609451007,IntegratedGradients
Erlotinib,0,,all,SPIB,0.00014365174558696504,IntegratedGradients
Erlotinib,0,,all,PHOX2A,0.00010760720252197254,IntegratedGradients
Erlotinib,0,,all,FXYD3,0.0009335673200623598,IntegratedGradients
Erlotinib,0,,all,CCN1,0.0003332149412928497,IntegratedGradients
Erlotinib,0,,all,MYB,0.0003369568761875026,IntegratedGradients
Erlotinib,0,,all,RHOH,0.00020621309281846018,IntegratedGradients
Erlotinib,0,,all,LGALS4,0.00021692449031255714,IntegratedGradients
Erlotinib,0,,all,GNG12,0.00046081924668975863,IntegratedGradients
Erlotinib,0,,all,CD52,0.0003106775515123823,IntegratedGradients
Erlotinib,0,,all,INSM1,0.00021692222971958963,IntegratedGradients
Erlotinib,0,,all,GJB3,0.001094016827388055,IntegratedGradients
Erlotinib,0,,all,CXorf21,0.00028261159789509747,IntegratedGradients
Erlotinib,0,,all,AZU1,0.0001743144732710714,IntegratedGradients
Erlotinib,0,,all,CHGA,0.0003165174523309104,IntegratedGradients
Erlotinib,0,,all,ASCL1,0.00012062284069038962,IntegratedGradients
Erlotinib,0,,all,AXL,0.0016558151984342453,IntegratedGradients
Erlotinib,0,,all,LYZ,0.0008137178477530145,IntegratedGradients
Erlotinib,0,,all,ITGA3,0.0003246715575757058,IntegratedGradients
Erlotinib,0,,all,WWTR1,0.0008197334793289792,IntegratedGradients
Erlotinib,0,,all,TPM1,0.00089260797554255,IntegratedGradients
Erlotinib,0,,all,LLGL2,0.0008681355260466182,IntegratedGradients
Erlotinib,0,,all,IFFO1,0.001164190251526481,IntegratedGradients
Erlotinib,0,,all,SDC4,0.0002733790226600069,IntegratedGradients
Erlotinib,0,,all,MST1R,0.00022623009403424587,IntegratedGradients
Erlotinib,0,,all,MAP7,0.00039224377769957257,IntegratedGradients
Erlotinib,0,,all,PRR15L,0.00017366176339369364,IntegratedGradients
Erlotinib,0,,all,MPZL2,0.0008142986681874489,IntegratedGradients
Erlotinib,0,,all,ELAVL3,0.00021270300520761086,IntegratedGradients
Erlotinib,0,,all,HOOK1,0.00020068011318690815,IntegratedGradients
Erlotinib,0,,all,AGR2,0.0009858451248936865,IntegratedGradients
Erlotinib,0,,all,WIPF1,0.00032451029517017863,IntegratedGradients
Erlotinib,0,,all,ZEB1,0.00022969472234683663,IntegratedGradients
Erlotinib,0,,all,GFI1B,0.00021660369725466324,IntegratedGradients
Erlotinib,0,,all,CAV1,0.000510948272340789,IntegratedGradients
Erlotinib,0,,all,VPREB1,0.0002449645351146556,IntegratedGradients
Erlotinib,0,,all,SYDE1,0.000508751863348801,IntegratedGradients
Erlotinib,0,,all,KLF5,0.0007629645272783293,IntegratedGradients
Erlotinib,0,,all,LAD1,0.00018387083623621714,IntegratedGradients
Erlotinib,0,,all,RASGRP2,0.0006109788536142384,IntegratedGradients
Erlotinib,0,,all,DNTT,0.0002658208348544004,IntegratedGradients
Erlotinib,0,,all,FOSL1,0.0004954282613678487,IntegratedGradients
Erlotinib,0,,all,LCP2,0.0003379916934701014,IntegratedGradients
Erlotinib,0,,all,DDR1,0.0006104089077400004,IntegratedGradients
Erlotinib,0,,all,RND3,0.0001585266099480538,IntegratedGradients
Erlotinib,0,,all,LAIR1,0.00026080102729031455,IntegratedGradients
Erlotinib,0,,all,PIM2,0.0008885404763877428,IntegratedGradients
Erlotinib,0,,all,GPX2,0.0006254032359506537,IntegratedGradients
Erlotinib,0,,all,ELF3,0.00028929185426041816,IntegratedGradients
Erlotinib,0,,all,ARHGAP25,0.0005963268420820668,IntegratedGradients
Erlotinib,0,,all,TEAD1,0.0007273435677957923,IntegratedGradients
Erlotinib,0,,all,SFN,0.000517715953310735,IntegratedGradients
Erlotinib,0,,all,DSP,0.0003005992101937852,IntegratedGradients
Erlotinib,0,,all,FLI1,0.00025770240364660763,IntegratedGradients
Erlotinib,0,,all,S100A2,0.0012586446748574006,IntegratedGradients
Erlotinib,0,,all,LMNA,0.00023249907720309193,IntegratedGradients
Erlotinib,0,,all,F11R,0.00038215099639998747,IntegratedGradients
Erlotinib,0,,all,CALD1,0.00043800746940445007,IntegratedGradients
Erlotinib,0,,all,TSPAN6,0.000623987606396481,IntegratedGradients
Erlotinib,0,,all,CYTIP,0.0005406987643167376,IntegratedGradients
Erlotinib,0,,all,BLNK,0.0003073816868239592,IntegratedGradients
Erlotinib,0,,all,LOXL2,0.00022687578772078994,IntegratedGradients
Erlotinib,0,,all,TSPAN1,0.0005920161796093282,IntegratedGradients
Erlotinib,0,,all,CTBP2,0.00027450980657812236,IntegratedGradients
Erlotinib,0,,all,APBB1IP,0.00026212509678882385,IntegratedGradients
Erlotinib,0,,all,SH2D3A,0.00042361632879159007,IntegratedGradients
Erlotinib,0,,all,PDGFRB,0.00030099420521974046,IntegratedGradients
Erlotinib,0,,all,ATP1B1,0.0005324493568586254,IntegratedGradients
Erlotinib,0,,all,CTSL,0.00017388216159193464,IntegratedGradients
Erlotinib,0,,all,GPR87,0.0009298486264315372,IntegratedGradients
Erlotinib,0,,all,ATP2A3,0.00018728162839246558,IntegratedGradients
Erlotinib,0,,all,LY86,0.0003589732062988656,IntegratedGradients
Erlotinib,0,,all,ANXA1,0.0007132581577866365,IntegratedGradients
Erlotinib,0,,all,OSMR,0.001468664144001222,IntegratedGradients
Erlotinib,0,,all,PPL,0.001087531149469145,IntegratedGradients
Erlotinib,0,,all,LSR,0.0006133329798618456,IntegratedGradients
Erlotinib,0,,all,EMP3,0.00022570927059668765,IntegratedGradients
Erlotinib,0,,all,POU2F2,0.0002402397134862444,IntegratedGradients
Erlotinib,0,,all,S100P,0.00033779077302688917,IntegratedGradients
Erlotinib,0,,all,LAMB1,0.0005277657291655242,IntegratedGradients
Erlotinib,0,,all,CAP2,0.0005202386299916182,IntegratedGradients
Erlotinib,0,,all,PARVA,0.000662528312431684,IntegratedGradients
Erlotinib,0,,all,GPRC5A,0.0002455890294835836,IntegratedGradients
Erlotinib,0,,all,ZEB2,0.00039260326699433793,IntegratedGradients
Erlotinib,0,,all,SAMSN1,0.00025008405634145773,IntegratedGradients
Erlotinib,0,,all,PLCG2,0.0002587750360686992,IntegratedGradients
Erlotinib,0,,all,CD3E,0.00038976947441315827,IntegratedGradients
Erlotinib,0,,all,TFF3,0.0005049376736021887,IntegratedGradients
Erlotinib,0,,all,RBM47,0.0002285584557640722,IntegratedGradients
Erlotinib,0,,all,LAPTM5,0.0004946734528730957,IntegratedGradients
Erlotinib,0,,all,CCDC69,0.0009124083768393695,IntegratedGradients
Erlotinib,0,,all,DDR2,0.00036795646132925476,IntegratedGradients
Erlotinib,0,,all,CDH3,0.0009431347333148722,IntegratedGradients
Erlotinib,0,,all,B3GNT3,0.0005145009554305607,IntegratedGradients
Erlotinib,0,,all,PAX8,0.00034168733630125884,IntegratedGradients
Erlotinib,0,,all,KRT19,0.0004412624816516699,IntegratedGradients
Erlotinib,0,,all,VIL1,0.0004607043394237627,IntegratedGradients
Erlotinib,0,,all,ANTXR1,0.0007558259278174506,IntegratedGradients
Erlotinib,0,,all,IL2RG,0.0004979547664412451,IntegratedGradients
Erlotinib,0,,all,PRKCB,0.0003753182715787497,IntegratedGradients
Erlotinib,0,,all,SH3BP4,0.00038794436548569806,IntegratedGradients
Erlotinib,0,,all,DDC,0.0003132981241343174,IntegratedGradients
Erlotinib,0,,all,RAG2,8.465766959456747e-05,IntegratedGradients
Erlotinib,0,,all,KIRREL1,0.00035676603008581704,IntegratedGradients
Erlotinib,0,,all,EHD2,0.00029975476145544807,IntegratedGradients
Erlotinib,0,,all,CD3D,0.0003725826167809089,IntegratedGradients
Erlotinib,0,,all,JUP,0.00035748851248291417,IntegratedGradients
Erlotinib,0,,all,GPR35,0.0008685835637663903,IntegratedGradients
Erlotinib,0,,all,FAM114A1,0.0007969340707604647,IntegratedGradients
Erlotinib,0,,all,EGFR,0.0018708917116012566,IntegratedGradients
Erlotinib,0,,all,PERP,0.0005473019257374685,IntegratedGradients
Erlotinib,0,,all,PRSS23,0.0005146401812584804,IntegratedGradients
Erlotinib,0,,all,TGFBI,0.0005872952452772322,IntegratedGradients
Erlotinib,0,,all,SEPTIN10,0.0006637690291555402,IntegratedGradients
Erlotinib,0,,all,KRT6A,0.0011936728961468221,IntegratedGradients
Erlotinib,0,,all,DAPP1,0.0002255727716488536,IntegratedGradients
Erlotinib,0,,all,SPDEF,0.00032524642247529196,IntegratedGradients
Erlotinib,0,,all,TNFRSF1A,0.0006727753733092694,IntegratedGradients
Erlotinib,0,,all,FHL2,0.0002448558973862911,IntegratedGradients
Erlotinib,0,,all,HNF4A,0.0001399680770161254,IntegratedGradients
Erlotinib,0,,all,FERMT2,0.0007492104795300857,IntegratedGradients
