feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0009157404664917588,True
AATK,,,,0.017570711043514417,False
ABCA3,,,,0.005015732539495551,True
ABCC3,,,,0.013701463312313887,False
ABCC4,,,,0.002434614326367346,True
ABI1,,,,0.02750980328913041,False
ABL1,,,,0.010451227459733486,True
ABL2,,,,0.010192298731171097,True
ACACA,,,,0.0020113858283177916,True
ACACB,,,,0.0011348598054252079,True
ACOXL,,,,0.009605369185394503,True
ACSL6,,,,0.01902515634047983,False
ACVR1,,,,0.028474032274570613,False
ACVR1B,,,,0.013065090311975362,False
ACVR1C,,,,0.02927587964487369,False
ACVR2A,,,,0.012093462693376173,False
ACVR2B,,,,0.02975058082548565,False
ACVRL1,,,,0.011242146784367392,False
ADAM10,,,,0.018689034319108216,False
ADAM12,,,,0.0022990838546061276,True
ADAM17,,,,0.01949199637520858,False
ADAM18,,,,0.02039858802820583,False
ADAM22,,,,0.031231478391726415,False
ADAM28,,,,0.013378188558303137,False
ADAM29,,,,0.011215441413464668,False
ADAM32,,,,0.024763520444406682,False
ADAMTS18,,,,0.0002570361446328749,True
ADAMTS19,,,,0.010042457606412909,True
ADAMTS2,,,,0.013831465314061863,False
ADAMTS20,,,,0.008165114755393485,True
ADAMTSL3,,,,0.0015047204581944125,True
ADARB2,,,,0.03687444028852687,False
ADCK1,,,,0.033396371093203904,False
ADCK2,,,,0.03671687884333459,False
ADCK4,,,,0.004990225744940295,True
ADCK5,,,,0.01578284885686425,False
ADHFE1,,,,0.024482819920070772,False
ADK,,,,0.02524859528308171,False
ADRBK1,,,,0.012148110753770912,False
ADRBK2,,,,0.022906360662558294,False
AFF1,,,,0.025115153860525832,False
AFF3,,,,0.007107951190026043,True
AFF4,,,,0.008802996575211405,True
AGAP2,,,,0.013705489866509307,False
AIFM1,,,,0.03645769650024342,False
AIFM3,,,,0.0535362046297528,False
AIM1,,,,0.0183594526451816,False
AKAP12,,,,-0.007263734707576777,True
AKAP4,,,,0.023204912432656953,False
AKAP6,,,,-0.0004423436773144238,True
AKAP9,,,,0.007332956668462775,True
AKT1,,,,0.015991779737246352,False
