sample_id,variable,class_label,probability,known_label,predicted_label,split
GCT,Erlotinib,,,0.0297500574669204,0.05173245817422867,train
KYSE-510,Erlotinib,,,0.0072697969032743,0.027790801599621773,train
Hs 863.T,Erlotinib,,,,0.069994255900383,train
Hs 274.T,Erlotinib,,,,0.04931515455245972,train
DU145,Erlotinib,,,0.135598200817881,0.0989832729101181,train
L3.3,Erlotinib,,,0.128358214225068,0.06418448686599731,train
JHUEM-2,Erlotinib,,,0.0258694737726735,0.05157497525215149,train
UM-UC-3,Erlotinib,,,0.0,0.04931515455245972,train
HCC1438,Erlotinib,,,,0.06005529686808586,train
JURL-MK1,Erlotinib,,,,0.06737039983272552,train
HLC-1,Erlotinib,,,,0.04931515455245972,train
NCI-H2023,Erlotinib,,,0.0196922070680006,0.07314600795507431,train
NCI-H1836,Erlotinib,,,,0.07757066190242767,train
OVISE,Erlotinib,,,,0.04730769246816635,train
NCI-H1734,Erlotinib,,,,0.04285985976457596,train
RCC4,Erlotinib,,,,0.06737039983272552,train
SNU-466,Erlotinib,,,,0.05725923925638199,train
BCP-1,Erlotinib,,,,0.06737039983272552,train
Hs 688(A).T,Erlotinib,,,,0.069994255900383,train
VM-CUB-1,Erlotinib,,,,0.09879708290100098,train
COR-L23,Erlotinib,,,0.0096508432450326,0.02386605367064476,train
HCC1954,Erlotinib,,,0.10922294838185,0.045677196234464645,train
KNS-42,Erlotinib,,,0.0,0.07312197983264923,train
NCI-H1385,Erlotinib,,,,0.04931515455245972,train
NCI-H1694,Erlotinib,,,0.0,0.06737039983272552,train
EM-2,Erlotinib,,,0.0606996145153811,0.06737039983272552,train
OVKATE,Erlotinib,,,,0.06737039983272552,train
SNG-M,Erlotinib,,,0.0745293031988896,0.14598101377487183,train
SNU-C1,Erlotinib,,,,0.06737039983272552,train
GB-1,Erlotinib,,,0.0524058757243449,0.06737039983272552,train
KMS-34,Erlotinib,,,0.0064564022136489,0.06737039983272552,train
KLM-1,Erlotinib,,,,0.04931515455245972,train
HCC1937,Erlotinib,,,,0.06737039983272552,train
CHL-1,Erlotinib,,,0.131031637107937,0.0702037513256073,train
KYSE-270,Erlotinib,,,,0.10413135588169098,train
U-138MG,Erlotinib,,,,0.04931948333978653,train
KOPN-8,Erlotinib,,,,0.04496495798230171,train
HCT 116,Erlotinib,,,0.0291910516115331,0.07742525637149811,train
TM-31,Erlotinib,,,,0.06005529686808586,train
IGROV-1,Erlotinib,,,0.1451892846298,0.09677258878946304,train
A4/Fukuda,Erlotinib,,,,0.06737039983272552,train
EFO-21,Erlotinib,,,0.0443850557242215,0.04852505773305893,train
59M,Erlotinib,,,,0.06737039983272552,train
COR-L311,Erlotinib,,,,0.06737039983272552,train
HLE,Erlotinib,,,0.0274767936306091,0.06737039983272552,train
U-118MG,Erlotinib,,,0.0070533201869107,0.06737039983272552,train
TE-5,Erlotinib,,,0.026737511299685,0.045677196234464645,train
MDA-MB-157,Erlotinib,,,0.0606864748104388,0.06737039983272552,train
Loucy,Erlotinib,,,,0.06737039983272552,train
NCI-H2171,Erlotinib,,,,0.06737039983272552,train
CHP-126,Erlotinib,,,,0.06737039983272552,train
MHH-CALL-3,Erlotinib,,,,0.069994255900383,train
JL-1,Erlotinib,,,,0.069994255900383,train
L-363,Erlotinib,,,0.0300418768691312,0.07044698297977448,train
KMS-21-BM,Erlotinib,,,,0.06398186087608337,train
NCI-H1755,Erlotinib,,,,0.0466952882707119,train
