target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,TNFRSF17,0.0003095943911853145,IntegratedGradients
Erlotinib,0,,rna,SOX10,0.00037898068696425274,IntegratedGradients
Erlotinib,0,,rna,IKZF1,0.00031914955650130117,IntegratedGradients
Erlotinib,0,,rna,BTK,0.00032630530244742386,IntegratedGradients
Erlotinib,0,,rna,VPREB3,0.00027800577449331795,IntegratedGradients
Erlotinib,0,,rna,YAP1,0.0004832588330565346,IntegratedGradients
Erlotinib,0,,rna,MLANA,0.0002312144432651301,IntegratedGradients
Erlotinib,0,,rna,MZB1,0.00026410371289000524,IntegratedGradients
Erlotinib,0,,rna,KLF1,0.0004920749229168129,IntegratedGradients
Erlotinib,0,,rna,GRHL2,0.0012163129925527416,IntegratedGradients
Erlotinib,0,,rna,SPIB,0.0002295674714852384,IntegratedGradients
Erlotinib,0,,rna,PHOX2A,0.0003639946321002067,IntegratedGradients
Erlotinib,0,,rna,FXYD3,0.0005105275894289474,IntegratedGradients
Erlotinib,0,,rna,CCN1,0.0005212675015341647,IntegratedGradients
Erlotinib,0,,rna,MYB,0.00032963195406126894,IntegratedGradients
Erlotinib,0,,rna,RHOH,0.0005168427963986388,IntegratedGradients
Erlotinib,0,,rna,LGALS4,0.0003127274180961186,IntegratedGradients
Erlotinib,0,,rna,GNG12,0.0005825340785109497,IntegratedGradients
Erlotinib,0,,rna,CD52,0.0003231129405352207,IntegratedGradients
Erlotinib,0,,rna,INSM1,0.000578494269056167,IntegratedGradients
Erlotinib,0,,rna,GJB3,0.0007609241594692788,IntegratedGradients
Erlotinib,0,,rna,CXorf21,0.00034041436579502023,IntegratedGradients
Erlotinib,0,,rna,AZU1,0.00033053247550354206,IntegratedGradients
Erlotinib,0,,rna,CHGA,0.0004884551657850352,IntegratedGradients
Erlotinib,0,,rna,ASCL1,0.00025534916283528615,IntegratedGradients
Erlotinib,0,,rna,AXL,0.0006832472815884026,IntegratedGradients
Erlotinib,0,,rna,LYZ,0.00039075571679381707,IntegratedGradients
Erlotinib,0,,rna,ITGA3,0.001206830671341682,IntegratedGradients
Erlotinib,0,,rna,WWTR1,0.00037712858513094577,IntegratedGradients
Erlotinib,0,,rna,TPM1,0.0004022238266157989,IntegratedGradients
Erlotinib,0,,rna,LLGL2,0.0006213835371634179,IntegratedGradients
Erlotinib,0,,rna,IFFO1,0.0008536442142645256,IntegratedGradients
Erlotinib,0,,rna,SDC4,0.0005718544484660942,IntegratedGradients
Erlotinib,0,,rna,MST1R,0.0009029426524693638,IntegratedGradients
