feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.001694219155641436,True
AATK,,,,0.017632879134478842,False
ABCA3,,,,0.005084255200572879,True
ABCC3,,,,0.01371001559705825,False
ABCC4,,,,0.002415512820562568,True
ABI1,,,,0.027574108229388654,False
ABL1,,,,0.016563410422008335,False
ABL2,,,,0.010246391887344665,True
ACACA,,,,0.002008602670520293,True
ACACB,,,,0.0011033048135407218,True
ACOXL,,,,0.009598885751955897,True
ACSL6,,,,0.011322487347718664,False
ACVR1,,,,0.028535767363221554,False
ACVR1B,,,,0.013039371574938952,False
ACVR1C,,,,0.02925446395749227,False
ACVR2A,,,,0.012094862111523672,False
ACVR2B,,,,0.029739231049172705,False
ACVRL1,,,,0.011229840940271834,False
ADAM10,,,,0.018679118420151634,False
ADAM12,,,,0.0022254646426469837,True
ADAM17,,,,0.0194887418926295,False
ADAM18,,,,0.019049665816078892,False
ADAM22,,,,0.031184659921789516,False
ADAM28,,,,0.013398552182503343,False
ADAM29,,,,0.00868523407916416,True
ADAM32,,,,0.02295337404617159,False
ADAMTS18,,,,0.0016606639705202646,True
ADAMTS19,,,,0.010019972332587331,True
ADAMTS2,,,,0.009827292252032148,True
ADAMTS20,,,,0.00824521444478663,True
ADAMTSL3,,,,0.0014606866833215143,True
ADARB2,,,,0.03689495057891726,False
ADCK1,,,,0.03337082923343877,False
ADCK2,,,,0.03671786630614561,False
ADCK4,,,,0.004979671549382118,True
ADCK5,,,,0.015773679708126806,False
ADHFE1,,,,0.02449903250952576,False
ADK,,,,0.025236068226212466,False
ADRBK1,,,,0.012147962387870628,False
ADRBK2,,,,0.02288260840714035,False
AFF1,,,,0.025090462738164704,False
AFF3,,,,0.007159230568525234,True
AFF4,,,,0.008796587148598307,True
AGAP2,,,,0.013658812324002595,False
AIFM1,,,,0.036400435525754275,False
AIFM3,,,,0.04603173609187539,False
AIM1,,,,0.018334126504104348,False
AKAP12,,,,-0.00932593971895285,True
AKAP4,,,,0.02321833754780303,False
AKAP6,,,,-0.00047671224957699857,True
AKAP9,,,,0.007814168402122021,True
AKT1,,,,0.015988867104238556,False
