sample_id,variable,class_label,probability,known_label,predicted_label,split
MDA-MB-134-VI,Erlotinib,,,,0.009579185396432877,train
CMK,Erlotinib,,,,0.0335366427898407,train
HSC-2,Erlotinib,,,0.0718212186324384,0.17495082318782806,train
KP-3,Erlotinib,,,0.0353438466747756,0.0638706162571907,train
HCC1143,Erlotinib,,,,0.2689821422100067,train
DU145,Erlotinib,,,0.135598200817881,0.11230385303497314,train
F5,Erlotinib,,,,-0.07548309117555618,train
SUP-T11,Erlotinib,,,,-0.0200923103839159,train
SNU-C5,Erlotinib,,,,0.051932673901319504,train
KM-H2,Erlotinib,,,,0.01565219648182392,train
MHH-ES-1,Erlotinib,,,0.0877176325400873,0.0967453271150589,train
CAL-29,Erlotinib,,,,0.1505851000547409,train
SUP-HD1,Erlotinib,,,,-0.06560169905424118,train
DMS 454,Erlotinib,,,,-0.019851645454764366,train
NH-6,Erlotinib,,,,-0.018593203276395798,train
TUHR14TKB,Erlotinib,,,,0.187017560005188,train
697,Erlotinib,,,0.109439352447289,0.0659179538488388,train
NCI-H1836,Erlotinib,,,,-0.01684897020459175,train
OCI-Ly10,Erlotinib,,,0.0721484574952942,0.02908005751669407,train
BT-549,Erlotinib,,,0.0195656376392978,0.03386004641652107,train
Hs 737.T,Erlotinib,,,,0.0388067364692688,train
NCI-H1618,Erlotinib,,,,-0.013669897802174091,train
KOPN-8,Erlotinib,,,,-0.05997505038976669,train
RERF-LC-Ad2,Erlotinib,,,,0.14295312762260437,train
UT-7,Erlotinib,,,,0.05430660396814346,train
NCI-H211,Erlotinib,,,0.0,-0.00034771760692819953,train
HCC1833,Erlotinib,,,,-0.058615799993276596,train
TE-11,Erlotinib,,,0.256996908787732,0.19414031505584717,train
LN-428,Erlotinib,,,,0.0401824451982975,train
HGC-27,Erlotinib,,,0.019985540124347,0.01434137113392353,train
CCF-STTG1,Erlotinib,,,,0.01803687959909439,train
EPLC-272H,Erlotinib,,,,0.2923535108566284,train
MHH-NB-11,Erlotinib,,,,-0.021603727713227272,train
KMRC-2,Erlotinib,,,0.0557129797932296,0.08861804753541946,train
SF295,Erlotinib,,,0.0548661332673498,0.05237603560090065,train
Kasumi-2,Erlotinib,,,0.0514740270057927,0.05515586957335472,train
LOX-IMVI,Erlotinib,,,0.0215505910373239,0.015527848154306412,train
PCM6,Erlotinib,,,,-0.07990968972444534,train
SNU-81,Erlotinib,,,,0.039164453744888306,train
HCC70,Erlotinib,,,0.0882811990466099,0.09910345822572708,train
PaTu 8988s,Erlotinib,,,,0.09091192483901978,train
MOLT-4,Erlotinib,,,,0.04636800289154053,train
TOV-112D,Erlotinib,,,0.0845724147706257,0.06369160860776901,train
GOS-3,Erlotinib,,,,0.05019297078251839,train
MV4-11,Erlotinib,,,,0.06599016487598419,train
MHH-CALL-3,Erlotinib,,,,0.0017105948645621538,train
BICR 56,Erlotinib,,,,0.19116821885108948,train
LS1034,Erlotinib,,,,0.019746337085962296,train
NB4,Erlotinib,,,,0.043045222759246826,train
S-117,Erlotinib,,,,0.06687308102846146,train
BT-483,Erlotinib,,,,0.04599471390247345,train
HCC2218,Erlotinib,,,,0.06253597140312195,train
L-1236,Erlotinib,,,,0.012475560419261456,train
NCI-H520,Erlotinib,,,0.0,0.010365115478634834,train
