,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34
SNU-175,-0.53457123,0.9417037,-0.16049503,0.8137825,-1.3005112,-0.48778912,0.1708531,0.16226873,0.3807481,-0.93455106,-0.48594165,1.0178291,0.96890426,-0.68533534,-1.2789822,-0.570625,-0.6267658,0.13178028,0.3962723,-0.67469776,-0.28737983,-0.74235195,-0.27178237,0.34901533,-0.6961031,0.22651358,-0.4672099,0.29497975,0.84059787,0.5604832,-0.95274633,0.4102019,-1.0328792,-1.1756365,0.19909413
143B,-0.21676363,0.41345558,0.7053966,0.6652687,-0.3942965,0.33060142,-0.28886855,0.06240287,0.2552241,0.093960054,0.60709727,0.65668976,0.19511218,-0.4009284,-0.61082816,-0.123610176,0.4194322,0.43633822,-0.07761529,0.098902315,0.008979345,-0.16136503,-0.33693177,0.5252214,-0.57263637,0.11251647,-0.628749,-0.05434486,0.2776175,0.2713019,-0.0693869,0.15165165,-0.36593002,-0.431926,0.22834483
Capan-2,-0.21676363,0.41345558,0.7053966,0.6652687,-0.3942965,0.33060142,-0.28886855,0.06240287,0.2552241,0.093960054,0.60709727,0.65668976,0.19511218,-0.4009284,-0.61082816,-0.123610176,0.4194322,0.43633822,-0.07761529,0.098902315,0.008979345,-0.16136503,-0.33693177,0.5252214,-0.57263637,0.11251647,-0.628749,-0.05434486,0.2776175,0.2713019,-0.0693869,0.15165165,-0.36593002,-0.431926,0.22834483
SJSA-1,-0.46315834,0.34819177,0.5927175,0.7724169,-0.21974508,0.3861623,-0.5081459,-0.15969385,0.48408496,0.035420705,0.587772,0.7962889,0.21516939,-0.60219777,-0.8537186,-0.37935048,0.2336619,0.621828,0.11451505,0.07885361,0.13944902,-0.45870414,-0.16410185,0.49193493,-0.772137,0.2627295,-0.67293835,0.09886487,0.46957284,0.366137,-0.00654349,0.4090122,-0.44322318,-0.53496337,0.30268258
KYSE-450,0.5170256,0.24404345,1.2748625,-0.3242434,0.19327912,0.6006643,-0.09332948,0.1165897,0.30797663,-0.65289533,0.46965194,0.87195265,-0.4293962,0.26865909,-0.18488148,-1.116564,0.76976943,-0.23014015,0.15401264,0.6419682,0.11589369,-0.80283964,-1.038495,0.049466953,-0.46925578,0.1658243,-0.9726464,-0.63340324,0.4601324,0.8228621,-0.6448033,0.7128189,-0.6867409,-0.9570344,1.0109783
P31/FUJ,-0.53327304,0.42905283,0.24427253,0.6566694,-0.3190446,0.16955574,-0.5436755,-0.08408637,0.4460281,-0.38331386,0.1797459,0.77869844,0.28745735,-0.628307,-0.9585467,-0.6494374,-0.1675196,0.4042086,0.14325885,-0.06429746,-0.0780507,-0.6222711,-0.14837837,0.3057075,-0.7519655,0.1551106,-0.47256178,0.06299197,0.7282942,0.57470274,-0.34386915,0.5695868,-0.5816175,-0.57604337,0.4419593
Lu-65,-0.4622521,0.22709364,0.43864712,0.54878795,0.056049902,0.43124005,-0.79402983,-0.12259837,0.40504527,-0.14594051,0.45711175,0.6317215,-0.014946072,-0.54405314,-0.7505656,-0.62318224,0.06949191,0.45706028,-0.023026686,0.20322981,-0.03557458,-0.49051932,-0.1455317,0.28655124,-0.7162378,0.07390533,-0.452198,-0.08685589,0.6353574,0.564073,-0.11282337,0.57215405,-0.36792645,-0.28495973,0.5346374
LoVo,-0.2995335,0.54043347,0.65902936,0.8292258,-0.64115053,0.20637472,-0.103932984,0.019702565,0.35160965,0.053697716,0.5345432,0.8172265,0.42977935,-0.50406116,-0.7951642,-0.08320873,0.3442568,0.5195661,0.0907631,-0.07641303,0.08824861,-0.2644836,-0.30972654,0.6130564,-0.6516369,0.25640586,-0.7370012,0.120788485,0.28821236,0.21185943,-0.11404461,0.13314684,-0.5064845,-0.68365026,0.10439607
SW837,-0.40970173,0.7308822,0.23495567,0.79405564,-0.9477932,-0.13882186,0.010328373,0.10184613,0.35106665,-0.46026534,0.008922983,0.8964317,0.67509216,-0.5825495,-1.0196408,-0.34663764,-0.15487488,0.30156013,0.22393925,-0.36267728,-0.1227002,-0.49921787,-0.29422367,0.4594786,-0.66203505,0.21693306,-0.5770276,0.18367355,0.57745785,0.40531316,-0.5485027,0.28214854,-0.7606093,-0.9013183,0.17472006
OV7,-0.21676363,0.41345558,0.7053966,0.6652687,-0.3942965,0.33060142,-0.28886855,0.06240287,0.2552241,0.093960054,0.60709727,0.65668976,0.19511218,-0.4009284,-0.61082816,-0.123610176,0.4194322,0.43633822,-0.07761529,0.098902315,0.008979345,-0.16136503,-0.33693177,0.5252214,-0.57263637,0.11251647,-0.628749,-0.05434486,0.2776175,0.2713019,-0.0693869,0.15165165,-0.36593002,-0.431926,0.22834483
