,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84
YH-13,0.81308985,-0.07422688,-0.086599134,0.36187047,-0.33037233,0.06712059,-0.578236,-0.25494227,-0.085129015,-0.32541233,0.22489859,0.058394063,0.009249534,-0.71996474,0.07132241,0.3736447,-0.44034913,-0.58017564,0.2056963,-0.4610187,1.0840545,0.014108091,-0.318639,0.118572734,0.2351195,-1.0702739,-0.20416531,-0.45972225,0.48948476,-0.2013573,0.03860709,0.25759447,0.12587933,-0.087792106,0.20014659,0.9960805,0.063320704,0.1378863,-0.18590295,-0.51261103,-0.19021603,0.59858835,-0.019271318,0.34065163,-0.17605291,-0.6420109,-0.20586264,-0.025373364,-0.31604216,0.44414067,-0.38080966,-0.48056155,-0.20647147,-0.23388033,-0.00090635725,0.059488997,0.6304101,-0.65238583,-0.77573115,0.6006943,-0.28096405,-0.48891073,0.3780269,-0.68907577,-0.16136612,0.37070686,0.5180327,-0.075579844,0.49143827,-0.34384558,0.20413949,-0.5267868,-0.3024186,-0.64763814,-0.002321864,0.36148795,0.45642886,0.56065536,0.22104035,0.5710192,0.30267662,-0.11809431,0.38459447,0.51319957,0.40781447
SNU-119,0.37374237,0.09549562,0.16870113,-0.13882208,0.31656107,-0.22591628,-0.3463503,-0.07645522,-0.34204572,-0.15649357,0.07004425,-0.18633805,0.09311958,-0.29182112,0.00902823,-0.22540529,-0.2906813,-0.41097438,0.17154513,-0.19987355,0.5919226,-0.019714886,0.09185046,0.26377916,-0.19260454,-0.31169656,0.15252234,-0.010984944,0.31467125,-0.27481946,-0.09558546,-0.01774174,-0.10145718,0.20370816,-0.21761765,0.2673889,0.05136488,0.14216448,-0.15877075,0.15179211,0.11831142,0.28367874,-0.15359697,0.2540603,0.06166552,0.24369386,0.47981346,0.0005219797,-0.4449283,-0.030133171,-0.15662318,-0.19257161,-0.25168872,0.1287026,0.04354633,0.1440318,0.27338493,0.01630339,-0.025108643,-0.014467352,0.09573016,-0.01896539,0.54051507,0.009316614,0.05971178,0.2887707,0.14838216,-0.0339279,-0.01710014,-0.10853433,0.16197284,-0.552238,0.14972484,0.031001769,0.17624274,-0.20879465,0.11054716,0.13136989,-0.011764354,0.44048977,0.15748653,0.4841934,0.25514174,0.023266174,-0.1917797
DM-3,0.2944926,0.1413014,0.17067657,0.20533732,0.021555956,-0.3049609,-0.12813383,-0.2426252,-0.5445023,-0.41858304,0.03447791,-0.25161472,0.038231935,-0.41996792,-0.071109675,-0.02955904,-0.48844427,-0.18731488,0.13344951,-0.08298704,0.7157133,-0.12830526,-0.07665478,0.24139114,0.36444965,-0.64332527,-0.15354818,-0.35562396,0.10208331,-0.0043105655,0.15428333,0.24498133,-0.2565868,-0.15787135,-0.26964292,0.5907097,-0.18148424,-0.088925675,-0.21710622,-0.20969988,-0.11214061,0.59688693,-0.23933783,0.55639565,-0.037112482,-0.4034866,0.287288,-0.27925354,-0.30239737,0.33665895,-0.54780126,-0.41811463,-0.12483903,-0.09385944,-0.24420391,-0.014854162,0.29032117,-0.33693445,-0.3787827,0.09325075,0.1187393,-0.09062893,0.7971964,-0.21955058,0.02711072,0.3484941,0.55484396,-0.14866798,0.17272319,0.06847937,0.36974663,-0.33892316,0.0058219694,-0.2110394,0.25286335,-0.004035411,0.17282279,0.54837924,0.49291536,0.3607904,-0.06502517,-0.017875792,0.5360522,0.26961237,0.20765333
KYSE-410,-0.03536987,0.5369394,-0.15393592,-0.5476773,-0.050650798,-0.28783324,-0.36300445,-0.20063658,-0.6032241,0.10434729,-0.60945576,-0.08734538,0.33725202,-0.067642026,0.35765916,-0.10614474,-0.015227888,-0.41438746,0.07620202,0.2453474,0.30691615,-0.5807058,-0.1600399,0.22851993,0.22957988,0.31280333,0.06042611,-0.24957773,0.016209066,0.05973308,-0.35644004,0.048837654,0.18963583,0.1326395,-0.48218083,-0.22016443,0.6054854,-0.0718777,-0.24393524,-0.29083294,0.18979897,0.5220213,0.011020886,-0.3022942,-0.3987499,0.3785082,0.21048416,-0.17504752,0.13816404,0.07783925,-0.20051564,0.48219964,-0.49011207,-0.28515336,-0.16342494,-0.2218165,-0.11533813,0.41485825,0.07795001,0.21393435,0.068319194,0.42200288,0.48985806,-0.030761922,0.037191298,0.17817266,-0.40407273,0.48980173,0.4577931,-0.37857515,-0.2893882,-0.27063,-0.2339577,0.34652096,-0.3145511,0.087186135,0.4086456,-0.023098737,0.26431063,0.26338825,-0.44110647,0.28593445,-0.113573864,-0.1342945,-0.046502538
BL-70,0.39464313,0.1795365,0.20389083,-0.14069201,0.26121846,-0.21425934,-0.32632947,0.03552643,-0.31668255,-0.044806678,0.08092999,-0.08277299,0.042237677,-0.30945662,-0.0063889907,-0.15981689,-0.14319667,-0.32526675,0.14934424,-0.29351765,0.6396726,0.0759391,0.11971937,0.24005668,-0.1495213,-0.29443294,0.14269644,0.09664697,0.31485978,-0.2566458,0.005950358,0.04035616,-0.1573256,0.16013671,-0.15215896,0.2880427,0.06049711,0.15651827,-0.09610135,0.05824008,0.014213547,0.24712728,-0.103954375,0.091122404,0.13814937,0.22936429,0.37914735,0.08227275,-0.33954668,0.0044790795,-0.059036914,-0.2599599,-0.22362098,0.069988,0.14645423,0.19301033,0.30578637,0.041301724,-0.017402982,0.08148939,0.07981713,0.009680862,0.43438485,-0.090599984,0.0067610224,0.25753304,0.10758907,-0.059624236,0.010442682,-0.08158408,0.10779669,-0.39416796,0.088255085,0.12650625,0.14266038,-0.29398823,0.1285666,0.10150105,-0.060145255,0.42481503,0.17603108,0.44290802,0.24898782,-0.00041055045,-0.14172295
QGP-1,0.009144897,0.5713345,-0.031196294,-0.13222086,-0.40371892,-0.37793985,-0.23642705,-0.48912796,-0.6274133,-0.06713936,-0.62312835,-0.114372104,0.31591532,-0.20565982,0.19352168,0.07835851,-0.26792464,-0.19847439,0.04498451,0.3726838,0.4901891,-0.6853405,-0.40758258,0.19932316,0.67158675,-0.043841157,-0.29854214,-0.5323667,-0.15820958,0.24968463,-0.11871161,0.13103777,0.060012262,-0.13904709,-0.5742039,0.13445343,0.31231156,-0.12732455,-0.3495088,-0.5648583,0.0019721654,0.94005954,-0.043174036,0.118042216,-0.414751,-0.24608317,0.09690914,-0.45782453,0.30239543,0.41057226,-0.6568511,0.23350574,-0.3339454,-0.53527266,-0.43091756,-0.2405962,-0.081521735,0.039146505,-0.27621222,0.31918463,0.04061306,0.38014933,0.91725105,-0.25384402,0.110967435,0.33551693,0.10484008,0.27010953,0.66258603,-0.17693824,0.015605126,-0.14554769,-0.42009738,-0.036018424,-0.1735789,0.31776145,0.465335,0.3865368,0.8244526,0.17122504,-0.63912857,-0.12871176,0.23801638,0.025760647,0.28485903
SW1463,-0.028391395,0.5618513,-0.136595,-0.54177684,-0.110721834,-0.3060919,-0.36299115,-0.25019208,-0.55207217,0.107315615,-0.5996624,-0.019528173,0.3152075,-0.0760167,0.31439453,-0.046723507,-0.020273115,-0.42439002,0.066792004,0.19348426,0.34552076,-0.5577069,-0.2488314,0.15078497,0.1669228,0.34921134,0.1631095,-0.22854412,-0.018176695,0.044231944,-0.391982,0.01519443,0.23068349,0.1400029,-0.44616228,-0.22494374,0.5774283,-0.09213057,-0.23547287,-0.23469819,0.19908558,0.5356574,0.039064616,-0.287905,-0.3347493,0.48325607,0.29110965,-0.1011165,0.1473799,0.08953715,-0.23524344,0.57309175,-0.45414233,-0.3104145,-0.17902206,-0.15558447,-0.10520707,0.3860856,0.020777475,0.25626343,0.05601545,0.42558557,0.56541365,0.020947052,0.0036074615,0.19806875,-0.3821372,0.47890285,0.5040263,-0.38790435,-0.2739028,-0.27840474,-0.24786602,0.29857185,-0.25772247,0.06763488,0.422732,-0.018233187,0.28998405,0.2896128,-0.42014098,0.24028818,-0.09170137,-0.112351455,-0.06596251
A2780,0.827589,-0.5717456,-0.9717742,0.5989684,-1.3581067,0.16820559,-1.3328519,0.41418418,1.0708882,0.18780974,0.23405087,0.08894169,0.08816273,-0.27074116,1.0743097,1.5489657,-0.62191933,-0.695505,0.16551238,-0.19992685,0.6541644,0.8239944,0.23140578,-0.8353558,0.2811608,-0.7219018,-0.022356916,-0.8040288,1.2001879,-0.51184493,-0.016781764,0.025311222,0.7589352,0.12581955,1.0960417,1.200096,1.1038435,1.11094,-0.3557752,-0.6981296,-1.3458745,0.6588451,0.8968718,-0.501815,-1.1883141,-0.27282867,-2.0844634,0.9317812,-0.051682703,0.95997727,0.19306494,-0.19500902,0.17146614,-0.17429525,0.5824487,-0.41782013,0.9022466,-0.9639297,-1.0395774,0.9354478,-0.6860985,-0.94845754,-0.7178873,-1.0592299,-1.3477654,0.5183456,-0.5206317,0.3212797,-0.12637064,-0.28823307,-0.88019013,-1.2613561,-0.39279407,-0.59022295,-0.71301067,1.4954187,-0.11198812,-0.019796034,-0.40332827,0.7522015,0.18222898,-0.49103186,-0.79734564,-0.09947494,-0.028173631
TE-14,0.34974253,0.12916005,0.13846627,-0.18699972,0.32827634,-0.24502575,-0.2972408,-0.05413619,-0.402075,-0.19159386,0.060468238,-0.19022599,0.11657818,-0.36710626,0.0028670786,-0.24188532,-0.28507444,-0.3756349,0.16596794,-0.20817508,0.5934947,-0.04792043,0.113599226,0.24104367,-0.17661302,-0.2929371,0.19269863,-0.047820855,0.2868938,-0.23541237,-0.06805573,0.050518945,-0.12980683,0.1736355,-0.16299208,0.24754953,0.085622944,0.029395033,-0.17508253,0.11172885,0.13066968,0.26231658,-0.14232308,0.19464873,0.06345278,0.30434737,0.4442093,0.028837562,-0.47583163,0.0061043496,-0.12263499,-0.14772625,-0.2729161,0.16480164,0.06495544,0.14355397,0.246218,0.043845803,-0.08229201,0.06394486,0.04403087,-0.056854963,0.52867734,0.042012732,-0.011579433,0.31172425,0.08744849,-0.032756425,0.07950381,-0.12919882,0.08200535,-0.48453364,0.18082638,0.10734296,0.17442372,-0.24384807,0.11307869,0.15522252,-0.002991751,0.44799933,0.16106935,0.45757863,0.26771238,0.040200174,-0.12301128
TE 159.T,0.33574325,0.1413334,0.30516,0.25822586,-0.0029173526,-0.33921203,-0.22627057,-0.3116588,-0.48826176,-0.33670065,-0.00053417194,-0.19011301,0.09095596,-0.4398193,-0.14170572,-0.066376835,-0.5250851,-0.21934101,0.14651619,-0.02391374,0.78560734,-0.11129103,-0.12090485,0.25837034,0.32835305,-0.69019234,-0.22555427,-0.3094965,0.15509523,-0.049325336,0.19816494,0.12980871,-0.26010686,-0.1176351,-0.2791752,0.6314894,-0.24033953,0.050438363,-0.2604016,-0.15653348,-0.07034806,0.67529726,-0.21165815,0.6057397,0.02344005,-0.40912887,0.3146627,-0.2906309,-0.317492,0.28909364,-0.56984526,-0.46378145,-0.13202213,-0.070948444,-0.18968435,0.07624384,0.24813306,-0.3718181,-0.37610176,0.11469859,0.067688294,-0.0313627,0.8762279,-0.2625409,0.10031492,0.41413513,0.60385644,-0.2410019,0.21270537,0.07589262,0.46040148,-0.4007638,-0.014202628,-0.31271282,0.27071586,0.022938183,0.16091739,0.5403119,0.51907176,0.3094832,-0.06527341,0.057802435,0.572489,0.2056025,0.20491152
