,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83
SJSA-1,-2.679758,-2.1664245,-1.6359164,3.4514923,0.63890004,1.4967397,-1.9658186,5.1519175,0.4124771,5.6834106,-3.0381,-0.6139619,2.2493765,-2.3303747,-5.321846,-2.0865848,-4.253221,0.7206368,-1.3825346,6.0521274,-4.6556816,-2.6744494,-1.2931743,-1.0901142,4.031501,0.45259947,-1.3221931,-2.817647,-4.044446,2.3872669,2.7263799,4.1157856,0.19585566,-5.5686116,-3.526716,-1.1721934,4.613667,0.87736505,-1.4858985,-0.49172541,1.6778847,1.0857733,-0.4049137,2.3711581,-3.1536887,-1.085602,0.51175845,3.8192084,-1.3183311,-2.2354271,-0.53067136,0.26518854,-0.44035524,-1.110713,0.40030771,-0.641344,7.968556,-5.5245147,-2.282187,-0.58563197,3.677957,-0.385305,3.3172104,1.3864343,3.9189756,-0.90642387,2.2232578,3.012741,-0.75518006,0.9157572,-1.9217252,5.3010397,2.7997024,-3.8879855,2.1203637,-1.1286796,5.224992,-2.5868165,0.91461533,4.5981483,4.5065193,-0.71230745,4.0368814,-0.9531917
HuCC-T1,-1.1748998,-1.4016017,0.21774584,-1.0921917,0.14902917,-1.7349993,1.4991535,-2.015956,2.626763,-1.9186779,0.11134784,0.054711998,2.0712695,-0.032910693,0.39755875,1.5722673,1.3822001,0.6545531,1.7641194,-0.32001877,1.4007903,1.1120516,1.8258613,1.3007406,-0.87276363,0.42921016,0.27408475,-1.5724148,2.258108,-1.0615681,-1.1359154,-0.5744888,-1.5291271,1.4869877,0.3883355,0.26779827,0.14754252,-0.12035436,-0.3680133,0.83024675,-1.0285997,2.7779949,0.16893795,-3.491119,3.5928135,-0.22592707,-2.317031,2.1960673,-2.3191864,2.396868,-0.21432628,-3.492311,1.256471,-0.00727968,-0.09279099,-2.3469102,-2.1934865,-0.124825545,1.8765978,1.5284268,1.0776675,-0.5447817,-1.4364424,1.4871538,0.8689618,1.2572684,1.572996,0.038632423,-0.799695,-0.2079288,-2.4910407,1.8200747,0.13674258,3.0516055,0.52959967,0.46326786,-0.46182594,4.0185556,3.610519,-0.4166441,-2.9994054,2.1302183,-0.38267702,-0.36350742
OPM-2,4.418005,2.3649075,-0.5063976,2.2655082,-0.5703819,2.7097354,-0.98958266,5.5491357,-5.220045,0.8738372,-1.9692236,-0.96439385,-3.0324137,2.4273582,0.9692313,-6.289565,-6.163569,-1.8417836,-2.9198437,-0.2582848,2.830846,-0.3944287,-3.312347,-1.0944409,0.75524634,0.08893962,0.122352324,5.531755,0.054524135,2.6169991,1.147749,1.6478964,4.818872,-1.2883408,0.94690514,-0.6411754,0.5676058,1.7062641,-0.8908467,-2.3050866,0.83621806,-3.9630184,-3.8024836,5.0814786,-6.0073104,1.2067052,4.702127,-5.61857,3.6114929,-3.3720841,3.0008216,6.107497,-1.5050471,1.2833008,2.6667202,0.20785508,-0.5071866,2.5638063,-2.9437282,-0.7377252,-2.933006,2.303771,6.2683206,-4.4305444,-1.1478297,-1.7456746,-5.0443826,0.21218085,3.8094847,-0.3362764,4.707993,-3.467607,-3.4184446,-2.5436163,-2.8488896,-4.733861,-3.3327923,-5.441526,-3.660775,-0.079297565,6.1990185,-3.8070266,-0.46976563,2.4801898
NCI-H1573,-0.7666698,-1.5489932,-0.1640339,-1.3198329,-0.06693233,-1.4267193,1.7103449,-3.1121068,2.143322,-2.6557515,0.6250322,-0.4443336,1.9115202,0.8226897,0.954873,2.330727,1.797077,0.46249142,2.1085463,-1.3388442,2.0561411,1.3217134,2.0289056,1.2962922,-1.4118533,0.73715687,0.20673832,-1.7484074,2.6889985,-0.11419933,-0.841764,-0.55596226,-1.6809304,2.0823371,0.77295315,0.39390528,-0.6391435,0.24859397,0.12114865,0.792226,-1.0683064,3.0683033,0.21523654,-3.8141603,4.1405516,0.2815761,-1.9222919,1.9393357,-2.4130406,2.237299,0.066750914,-2.7158518,1.2231709,0.41072777,0.42233175,-2.21079,-3.081986,0.5141248,1.6946566,1.5434252,1.1077006,-0.36450154,-1.7306868,0.9484728,0.8287791,1.5914732,1.4104812,-0.29314056,-0.9210542,-0.38869852,-1.8579845,1.578843,-0.21828966,3.122844,0.21201159,1.0644805,-0.74000764,4.0668206,3.2274947,-1.0264177,-3.5273395,2.564813,-1.0619524,-0.14231998
COLO 741,0.40880546,1.1253142,-0.35383567,2.2949817,-0.51921993,0.39951834,0.9693687,2.215761,-1.1723882,2.573474,-1.4893296,-0.82825524,0.12775104,-0.35686234,-2.5916605,-3.277728,-3.1250672,0.27836466,-0.1985446,2.1650438,-1.9406581,-1.0734824,-1.1867955,1.5174067,1.5646394,-0.82961196,0.5405244,0.78235835,-1.1780796,0.002457789,0.29608464,0.10480724,1.1111335,-1.2709718,-3.0776274,-0.15111667,1.492965,-1.398034,-2.020927,-0.201232,0.6043508,-0.7460346,-0.82493156,0.5718141,-1.0243078,1.0321577,-0.27248687,0.5242531,0.17486267,0.11896039,1.0968707,1.5513648,-0.14828746,-0.8590122,0.6737528,-0.12328102,3.3195386,-3.0199475,0.47235763,-0.80736154,-0.056984458,-0.14628164,3.104879,-0.23567347,0.7940088,0.8829113,0.95818824,0.7947936,-0.0008952358,-0.83239096,-0.96728116,1.3589827,1.075383,-2.9495077,0.17154177,-1.5485317,1.2589587,-0.98250186,-0.043157812,0.3808691,1.7307336,1.0268991,0.27682546,0.782319
Panc 02.13,-2.212402,-2.3377619,-0.31529564,-1.9632517,0.50885653,-2.4307914,1.971968,-3.8174188,4.4924474,-3.5375676,0.5431797,0.0895485,3.5037363,0.10307083,0.062826015,2.464867,2.8024273,1.503354,3.056491,-0.70318234,1.9170241,1.899945,3.8955393,1.6021142,-1.5141555,1.0044894,0.5348243,-2.8849137,3.695958,-1.1185617,-1.2593985,-1.4327383,-2.080881,2.4389434,0.38322043,0.99774325,-0.036132146,-0.121675186,0.4339898,1.265005,-1.090298,4.562204,0.9982302,-5.605758,5.805196,-0.440939,-3.6071916,4.3569794,-3.768185,3.1816053,-0.7822735,-5.633026,1.8596885,0.1734071,-0.2763797,-2.8645086,-3.1494377,-0.24937211,3.1034002,1.8751888,1.8709303,-0.81020063,-3.157937,2.4136472,1.2007703,2.349633,2.5272064,0.19326314,-1.6566604,-0.18740651,-3.9501061,3.1750944,0.36414123,5.1137094,1.2070314,1.4980909,-0.08386869,6.378161,5.7787805,-0.96624196,-4.9936776,3.6191325,-0.75423396,-0.5829648
TE-10,-1.4997956,-2.0162952,-0.83465874,-2.4333005,0.93985766,-2.2945752,1.5840666,-3.374685,4.322904,-4.743959,0.88547134,0.24681658,3.7656815,0.53082407,1.2160283,2.9278545,2.749499,0.80360377,2.9270475,-1.1953071,3.3305886,1.7554464,4.315942,1.2018268,-1.7778664,1.743905,0.22383739,-2.177159,3.8606217,-0.31750095,-1.2401195,-1.0817723,-1.525371,2.9728782,1.8360977,0.446775,-0.28994814,0.8199644,1.2806532,0.15334982,-1.1395472,4.284904,0.87523687,-4.411741,5.522447,-0.41395646,-2.799639,2.6756084,-3.110064,2.5430782,-0.46448278,-5.4143777,1.7192268,0.9645335,-0.14256912,-2.6552396,-4.816506,1.6237468,2.1490455,1.7833462,1.8739833,-0.3960306,-3.3897583,1.8783505,0.66308945,1.7718571,1.8123995,-0.28771746,-1.7702382,0.13562754,-3.0913107,2.0810153,-0.403872,5.7489924,0.8587617,1.6494777,-0.7546986,5.719084,5.426163,-1.3581492,-4.829481,2.937072,-1.6341074,-0.07186707
LOX-IMVI,-0.36625597,-0.108031265,-0.5085229,1.5321082,-0.0169372,0.17285708,-0.22053312,2.1412718,0.08743852,1.8544986,-1.3602321,0.2680781,1.2701472,-0.65309095,-2.748289,-1.9363359,-1.8867964,0.6738744,-0.22446321,2.470777,-1.3897979,-0.83931583,-0.31749183,0.6066622,1.2114788,0.20641425,0.111122705,-0.053204764,-1.0329758,0.19585171,0.778245,1.0392143,0.7979281,-1.4834487,-2.1445968,0.10312816,1.8982364,-0.14634724,-0.86223847,-0.21966252,0.09506878,0.33224767,-0.71335983,0.6595109,-0.7292873,-0.052002527,0.13552496,1.1905439,-0.9152224,-0.30637312,0.5126285,0.058125235,-0.26142144,-0.7419985,-0.06644527,-0.7346633,2.8502748,-2.271697,0.2519941,-0.079190046,1.3250623,-0.19047454,1.6428326,0.43836477,1.0661794,0.17951658,0.53195137,1.2220548,-0.16707668,-0.19620723,-1.0659467,2.0845938,0.663189,-1.2619041,0.8199962,-1.0533116,1.4048399,-0.5236626,1.1395155,1.1743952,1.2926435,0.5128921,0.73576427,0.017230287
SUP-B15,12.642494,6.788829,-1.9586161,0.4173077,0.19197334,9.291471,-4.314841,9.442555,-12.488841,-2.7017303,-1.9508492,-3.4685373,-9.618597,8.169199,6.955479,-10.356535,-9.576332,-6.3237114,-6.76517,-5.9324656,10.502209,0.14984815,-5.6131744,-7.642067,-2.315181,1.3349143,-0.0047144303,15.16368,1.4360385,9.376444,3.951024,2.838724,16.020634,0.4137534,6.7817216,-1.1149713,-1.494238,8.538973,3.4417374,-9.821091,3.4854481,-9.976654,-6.712635,14.786332,-16.155792,2.3864105,14.510533,-17.68159,12.515218,-12.865288,6.074391,13.591132,-4.8555427,6.2140036,7.0125017,3.4701507,-6.5750523,13.284274,-12.656701,-2.2670455,-8.507908,7.551452,8.751961,-11.917634,-7.181116,-6.327072,-15.913145,-0.31417575,9.862154,-0.86753285,15.018464,-12.907631,-13.091136,-0.6209982,-7.5185046,-7.022332,-8.845405,-14.722325,-11.606941,-2.6401324,13.440445,-11.598168,-4.0332203,7.890866
EJM,8.046308,3.7809327,-0.74226904,0.9383848,-0.4189687,5.0313087,-1.7388046,5.8199286,-8.209599,-1.1131827,-1.5026374,-2.530065,-6.078499,4.882629,4.863524,-6.320763,-7.017125,-4.1992993,-4.501096,-3.8204505,6.4721556,0.44125497,-3.3209457,-3.5065744,-1.2784234,0.48609775,-0.57594645,9.229151,1.6053339,4.900595,1.9068427,2.3410606,9.132061,0.01948064,4.0768757,-1.0284854,-0.8499575,5.1099715,0.79203707,-4.917851,1.7215648,-6.1981907,-4.6225953,7.927718,-9.638715,1.6178157,8.089538,-11.134848,7.6309867,-6.6036954,4.1979184,8.209255,-2.2304084,3.7529628,4.3526073,1.1051812,-4.752055,7.7292533,-6.872312,-0.787903,-5.8644104,4.46249,6.6190405,-7.902933,-3.644981,-3.41563,-10.290992,-1.2777467,6.7033973,-0.53771824,9.120728,-8.374211,-7.595421,-0.7038144,-4.8388667,-5.241417,-6.1514115,-8.047566,-6.797334,-1.1384733,8.618579,-7.449802,-1.9462342,4.426061
