sample_id,variable,class_label,probability,known_label,predicted_label,split
SJSA-1,Erlotinib,,,0.0369315976788424,0.024955756962299347,train
HuCC-T1,Erlotinib,,,0.0758539329680988,0.08385753631591797,train
OPM-2,Erlotinib,,,0.0670311385708233,0.04281938076019287,train
NCI-H1573,Erlotinib,,,0.154964829446517,0.12771277129650116,train
COLO 741,Erlotinib,,,0.105133052270533,0.03396466001868248,train
Panc 02.13,Erlotinib,,,,0.15251705050468445,train
TE-10,Erlotinib,,,,0.15650507807731628,train
LOX-IMVI,Erlotinib,,,0.0215505910373239,0.018822284415364265,train
SUP-B15,Erlotinib,,,,0.04252292960882187,train
EJM,Erlotinib,,,,0.021585481241345406,train
HDLM-2,Erlotinib,,,,0.002897823229432106,train
DEL,Erlotinib,,,0.0377691989042137,0.014261302538216114,train
MHH-CALL-3,Erlotinib,,,,0.053534142673015594,train
NCI-H1299,Erlotinib,,,0.0626858625403708,0.005893269088119268,train
NCI-H69,Erlotinib,,,,0.013553023338317871,train
SH-4,Erlotinib,,,,0.03533727675676346,train
HSC-4,Erlotinib,,,,0.12471574544906616,train
DLD-1,Erlotinib,,,,0.032840050756931305,train
Ri-1,Erlotinib,,,,0.02099604159593582,train
EB1,Erlotinib,,,0.0057546626057488,-0.010418534278869629,train
NCI-H650,Erlotinib,,,0.0050111947642401,0.009819263592362404,train
H4,Erlotinib,,,0.0303917922741951,0.044584475457668304,train
COLO 320,Erlotinib,,,0.0656630100878447,-0.0019130632281303406,train
MM1.S,Erlotinib,,,,0.03297339007258415,train
NCI-H2023,Erlotinib,,,0.0196922070680006,0.05385041981935501,train
NCI-H441,Erlotinib,,,0.0361416593151064,0.043032798916101456,train
CAL-148,Erlotinib,,,,0.06454148143529892,train
NCI-H1650,Erlotinib,,,0.220793735361946,0.1946408897638321,train
8-MG-BA,Erlotinib,,,0.0742306712571944,0.05250147357583046,train
TCCSUP,Erlotinib,,,0.0053850991607237,0.009866870939731598,train
SNU-478,Erlotinib,,,,0.15069539844989777,train
BICR 18,Erlotinib,,,,0.16185599565505981,train
Hs 172.T,Erlotinib,,,,0.024733766913414,train
Hs 895.T,Erlotinib,,,0.0401884287247958,0.015726104378700256,train
KYSE-180,Erlotinib,,,0.202348591328392,0.1567791998386383,train
SNU-1040,Erlotinib,,,,0.1939493715763092,train
UOK101,Erlotinib,,,,0.09011133015155792,train
MDA-MB-175-VII,Erlotinib,,,0.157212631566185,0.11306257545948029,train
MDA-PCa-2b,Erlotinib,,,,0.047007966786623,train
OAW42,Erlotinib,,,,0.09871643781661987,train
OVMANA,Erlotinib,,,0.0221955939297399,0.009456783533096313,train
SNU-626,Erlotinib,,,,-0.0057213082909584045,train
U-87MG ATCC,Erlotinib,,,0.0,0.015298832207918167,train
8505C,Erlotinib,,,0.0308762725344076,0.07972878962755203,train
TE-4,Erlotinib,,,,0.1551688313484192,train
Mel JuSo,Erlotinib,,,,0.012024433352053165,train
COR-L279,Erlotinib,,,,0.010591089725494385,train
NCI-H727,Erlotinib,,,0.0142250000000003,0.01896560937166214,train
NCI-H596,Erlotinib,,,,0.16191962361335754,train
MOLT-16,Erlotinib,,,0.0455364466552918,0.047053467482328415,train
BDCM,Erlotinib,,,0.0132267808987782,0.02228735014796257,train
MDA-MB-134-VI,Erlotinib,,,,-0.036270737648010254,train
A-704,Erlotinib,,,,0.05865015462040901,train
TE-1,Erlotinib,,,0.0982104210622835,0.11688061058521271,train
EW-8,Erlotinib,,,,0.016855495050549507,train
HCC44,Erlotinib,,,0.006897030803354,0.009685036726295948,train
UACC-812,Erlotinib,,,0.0508647075977552,0.037889063358306885,train
KYSE-140,Erlotinib,,,0.290069558925785,0.20522800087928772,train
Mono-Mac-1,Erlotinib,,,0.127921804524056,0.07129459828138351,train
CMK-86,Erlotinib,,,0.0731526974712473,0.0496307834982872,train
KP-2,Erlotinib,,,0.0396461943962427,0.1699521243572235,train
