,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79
LOX-IMVI,-0.38889924,1.5127821,1.3254675,1.7427573,-1.7882706,0.9470419,-3.5487242,-0.21229365,1.5932026,-0.1068044,-1.7922736,1.1394587,2.1785164,-2.7568583,-0.5052231,1.4037442,2.0424707,1.5932732,2.2641768,0.18269868,-2.453017,-0.48926502,2.18225,-0.6113766,-0.5188345,0.49708414,-2.9453878,0.5423624,0.17745373,-1.0724682,0.5205026,1.2556924,2.514944,0.30419025,0.04045124,-0.13505873,0.65725356,-0.6752619,0.2808553,-1.3860108,0.65826774,-0.6323124,1.445311,-0.71571714,1.9496133,-0.23455423,-1.0944946,-0.50650185,-2.9224424,0.45252997,1.1432706,0.34203914,1.3820714,-2.7751408,-0.62579566,0.30347475,-0.7401027,1.3110566,-2.2443526,0.29846027,-0.080640644,1.3989725,-2.324555,-3.0906856,-1.2088127,0.32251158,1.4865826,-2.2732937,0.31628177,1.6388289,-0.5105627,1.3395406,-0.8411574,0.6161909,-0.54270047,3.1456563,0.54700625,1.2390335,-1.9026167,0.32231736
Panc 05.04,-0.29869324,1.0991529,-0.095159315,0.8850124,-1.574071,0.82692504,-3.7228744,1.1152653,0.78045404,-0.6496972,-2.4733233,0.10107515,3.078807,-2.4054322,-1.4505253,1.2120986,2.1297607,0.043899685,2.6336544,0.2833771,-1.5338082,0.49505794,2.4062634,0.61774474,-0.09984391,0.13962972,-2.0525024,0.8570149,0.830753,-0.5983026,-0.3103567,0.8279577,2.4580421,0.57773185,-1.0781763,-1.0195606,1.8907329,0.04374664,0.16773652,-0.018386547,1.1170366,-1.0330813,1.4527966,-0.67262983,2.0694008,0.32975835,-0.6200932,-0.6281954,-2.5180793,1.361726,1.4471232,0.42278817,-0.06872365,-3.0082562,-0.25541848,-0.0135712195,0.11649565,0.65005404,-1.9159906,-0.34949195,-0.64337385,1.3791875,-1.5163587,-2.93782,-0.16506565,0.28747287,1.273597,-1.0145127,0.11830327,1.0199039,0.15162225,0.7826226,-0.24265346,-0.48629972,0.06856514,1.9492769,1.3682427,0.6183665,-1.9969172,0.71735394
NCI-H1915,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
SK-CO-1,-0.5421792,1.1933484,0.4453589,1.2062652,-1.2409151,1.3373642,-3.6679773,1.0836627,0.8449037,-0.8667376,-2.4305398,0.21353556,2.9769266,-2.5246837,-1.379367,1.1584953,1.935065,0.24579,2.538477,0.33286846,-1.7367243,0.2816079,2.1383085,0.38690758,-0.09237997,0.10641617,-2.3968327,0.74656826,1.0181884,-0.8889374,0.1665968,0.8681286,2.3928418,0.31895587,-1.3970994,-0.7679002,2.2134018,0.37665516,0.3768351,-0.2509724,0.9275073,-1.0766243,1.2396475,-0.7887601,2.4681606,0.556677,-1.0853288,-0.6227523,-2.448294,0.84246784,1.1695037,1.0074083,0.041524917,-3.1186652,-0.40017623,-0.5022084,-0.37016523,0.86635745,-1.855051,0.22316384,-0.79900604,0.8372052,-1.7529497,-3.2436366,-0.20204026,0.70945305,1.0870693,-1.1004977,0.43867463,0.9220256,-0.18159622,0.40940773,-0.5950319,-1.0409187,-0.063751675,2.1407418,1.0124943,0.70028025,-1.9432479,0.8904184
SNU-449,0.25462836,0.9745896,-0.3794318,0.85621774,0.40358254,0.9298679,-0.7020443,0.45048404,0.11459732,0.43431845,-0.53502846,0.44231528,0.6206141,-0.0942368,-0.84846365,0.8539686,0.45210028,0.2918726,0.4515761,0.12426032,-0.79844004,-0.29041478,0.42454764,-0.17371522,-0.117231354,-0.34660634,-1.2568392,0.1731511,-0.20493522,-0.28185987,0.66271526,0.28886393,-0.11447493,0.21926491,-0.42402226,-0.7430966,0.23149016,1.1641188,-0.35459512,0.013522741,-0.24652714,-0.8246268,-0.8799256,-0.41395357,0.34419793,-0.011906674,0.070585154,0.44907662,-1.1780444,-0.06345559,0.10966144,0.37153855,0.31097308,-0.35179225,0.30837637,-0.18945873,-1.0867943,-0.13887063,-0.13892068,-0.19265407,-0.13173385,0.5106974,-0.4806476,-0.87743807,0.3869052,-0.1749885,-0.6854818,0.39564505,0.22957633,0.5803587,-0.35528073,-0.53698546,-0.10053362,-0.5162762,-0.8304177,0.8986872,0.23496817,0.0017307275,-1.0320753,0.11614331
NB1,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
COLO 205,-0.5362778,1.2282653,0.5699889,1.2771767,-1.344145,1.3320497,-3.6772509,0.918363,0.9538288,-0.7621693,-2.242576,0.38778424,2.7362704,-2.5933807,-1.1713284,1.1961417,2.0254035,0.27828836,2.598089,0.20779003,-1.9206277,0.2037487,2.046844,0.3027132,-0.29554033,0.0731863,-2.5501373,0.69469833,1.0009022,-0.85746354,0.38774723,1.0830026,2.496131,0.38423306,-1.1784228,-0.5721251,1.7975634,0.29595628,0.48225334,-0.23219159,0.89248,-0.9889757,1.3220451,-0.802257,2.3698308,0.62936205,-1.1366701,-0.5963631,-2.6542463,0.5174965,1.1151584,1.0092025,0.40981477,-3.0120525,-0.44427004,-0.6039897,-0.37845126,0.8168804,-1.7530683,0.21580197,-0.7056408,0.8989205,-1.7751952,-3.4820213,-0.4583936,0.6293079,1.0232892,-1.368959,0.21931493,0.9976586,-0.24324904,0.5453769,-0.5987167,-0.91550106,-0.2468964,2.2783194,0.8559142,0.57682127,-1.8949564,0.9873318
ChaGo-K-1,0.11903769,0.49014747,-0.16412482,0.41637397,-0.0016410332,0.9445456,-0.13524428,0.4889641,-0.32196474,0.15776794,-0.47582284,0.44693232,0.50428903,-0.12647712,-0.69817984,-0.024288837,0.25205395,0.018164892,-0.24457048,0.108599216,-0.18570878,-0.1574521,-0.04292981,0.15254155,0.22555847,-0.31196642,-0.2642528,0.09339581,-0.31177926,-0.26078695,0.4734772,0.15675552,-0.28799173,-0.13282205,-0.24953376,-0.072534256,0.3534308,0.8664598,-0.23769361,0.11242205,-0.5155794,-0.3509564,-0.95089823,-0.10852599,0.29381597,-0.3513429,0.101423256,0.1638503,-0.4671017,-0.36149675,0.03768335,0.7732231,-0.04469841,-0.8071854,0.25258893,-0.58456254,-0.5966961,-0.15188614,-0.12130151,-0.015295948,0.23222558,-0.06489963,0.1920597,-0.5357554,0.10510505,-0.13016146,-0.18297975,0.42103913,0.41050586,-0.18073677,-0.23703986,-0.7831013,0.065750785,-0.50789887,-0.64214987,0.48889792,-0.12429989,0.20213695,-0.21211682,0.23233691
Hs 578T,-0.08765471,0.3963911,1.0239748,0.7363435,-0.28632095,0.22967415,-0.02410462,-1.0261756,0.57764065,0.30767414,0.122092746,1.1052985,-0.5529946,-0.2979056,0.6101107,0.23801845,-0.06545015,1.1110754,-0.09444964,-0.06655811,-0.8121283,-0.6929068,-0.46181437,-0.4533424,-0.59523165,0.058896404,-0.68163866,-0.18662216,-0.3900242,0.03033726,1.0345706,0.63640493,-0.25848046,-0.3964508,0.9321409,0.5770799,-0.84780353,-0.04919606,0.48107582,-0.784807,-0.58714473,-0.10714,-0.2747741,0.1803333,0.012626981,-0.81829077,-0.68140584,0.5136478,0.009775772,-0.8835651,-0.70515835,0.070674,1.1900802,-0.21939608,-0.10372406,0.23591928,-0.7047566,0.5347523,-0.15312985,0.09498981,0.6645223,0.047154922,-0.65305835,-0.50830346,-0.23459414,-0.059905425,-0.062469903,-0.5552997,0.2856803,0.44120622,-0.58717257,0.07524762,-0.47022143,0.6595777,-0.73737925,1.2067287,-0.8412948,0.29096797,-0.14098671,-0.5361942
L-540,-0.1522711,1.2229737,-0.8590254,0.8663464,-1.4050735,1.2827723,-3.6486692,1.9248488,0.45556253,-0.4953374,-2.7852151,0.05274834,3.9045546,-2.3362665,-2.059756,1.4520327,2.1368551,-0.28315058,2.3518171,0.22260095,-1.5565296,0.4361036,2.6307697,0.8040758,0.09469206,-0.41187423,-1.9538395,1.3871776,0.71541834,-0.7197131,-0.3588759,0.44740266,2.4818852,0.8232587,-1.187417,-1.3813105,2.1120393,0.6102463,-0.1661837,0.41913962,0.9888308,-1.0957053,0.9543522,-0.8352792,1.9589366,0.410531,-0.13173723,-0.72608095,-2.9526045,1.8010768,1.8598008,0.91660416,-0.60455084,-3.128067,0.053901333,-0.41375256,-0.025979131,0.18934503,-1.753917,-0.40411893,-0.9296658,1.6656882,-1.0341473,-3.0987434,-0.15415621,0.12518877,1.1348947,-0.52963716,0.11063387,1.1239136,0.34326166,0.32722571,0.054461963,-0.81104517,0.019681351,1.8495262,1.8688397,0.3043243,-2.316565,1.3837265
