sample_id,variable,class_label,probability,known_label,predicted_label,split
NCI-H358,Erlotinib,,,0.188750461482114,0.06610275059938431,train
HLE,Erlotinib,,,0.0274767936306091,0.038514964282512665,train
SET-2,Erlotinib,,,,-0.017784809693694115,train
Kelly,Erlotinib,,,0.0,-0.0005318581243045628,train
EM-2,Erlotinib,,,0.0606996145153811,0.05925135686993599,train
SNU-475,Erlotinib,,,0.0611929252113123,0.06291434168815613,train
DFCI024,Erlotinib,,,,0.09877412021160126,train
NCI-H1341,Erlotinib,,,0.103012744278107,0.02388455532491207,train
Reh,Erlotinib,,,0.0072748198316787,0.04205302149057388,train
SK-MEL-1,Erlotinib,,,,0.06106291338801384,train
Hs 737.T,Erlotinib,,,,0.1172739788889885,train
5637,Erlotinib,,,0.202139462625986,0.15206018090248108,train
NCI-H2141,Erlotinib,,,,0.008124134503304958,train
SJSA-1,Erlotinib,,,0.0369315976788424,0.07256792485713959,train
NALM-19,Erlotinib,,,,0.043725982308387756,train
CAL-27,Erlotinib,,,0.331155066635375,0.1873108148574829,train
COV362,Erlotinib,,,,-0.002441065153107047,train
EJM,Erlotinib,,,,0.02875819057226181,train
HCC1143,Erlotinib,,,,0.16229653358459473,train
A-549,Erlotinib,,,0.0812118077477125,0.05228691175580025,train
PLC/PRF/5,Erlotinib,,,0.0886662101862819,0.06358914077281952,train
HCC1806,Erlotinib,,,0.202094054607404,0.1172633171081543,train
FTC-238,Erlotinib,,,,0.027893738821148872,train
NCI-H684,Erlotinib,,,,-0.008082517422735691,train
K-562,Erlotinib,,,,-0.00775170186534524,train
COLO 818,Erlotinib,,,,0.10943089425563812,train
DV-90,Erlotinib,,,0.145650783489382,0.1079050675034523,train
OC 315,Erlotinib,,,0.052315315474671,0.040703050792217255,train
IST-Mes2,Erlotinib,,,0.0253521215403125,0.004501757677644491,train
DB,Erlotinib,,,,-0.01622714288532734,train
MFE-319,Erlotinib,,,0.262087844354188,0.2770625352859497,train
Hs 766T,Erlotinib,,,0.0991126936068783,0.0596001110970974,train
NCI-H322,Erlotinib,,,0.305784120047208,0.28766509890556335,train
SK-UT-1,Erlotinib,,,,0.03275159001350403,train
T24,Erlotinib,,,0.0768022402098758,0.0781552717089653,train
SUP-T1,Erlotinib,,,0.0,0.015403307974338531,train
Rh41,Erlotinib,,,,0.02674255706369877,train
TALL-1 [Human adult T-ALL],Erlotinib,,,,0.049703262746334076,train
ECC12,Erlotinib,,,,-0.010010439902544022,train
JHH-2,Erlotinib,,,0.0764561426940383,-0.02301739901304245,train
CAL-33,Erlotinib,,,,0.07177544385194778,train
LXF 289,Erlotinib,,,,0.0889146625995636,train
T3M-10,Erlotinib,,,0.0519343810386682,0.02482059970498085,train
DMS 53,Erlotinib,,,,0.051767442375421524,train
KO52,Erlotinib,,,0.0654167281139243,0.030363015830516815,train
LC-1F,Erlotinib,,,,0.15489168465137482,train
SKM-1,Erlotinib,,,,0.04309149831533432,train
WSU-DLCL2,Erlotinib,,,,0.002018425613641739,train
UOK101,Erlotinib,,,,0.0954742506146431,train
Ishikawa (Heraklio) 02 ER-,Erlotinib,,,0.218491325974419,0.24567735195159912,train
UACC-893,Erlotinib,,,,0.08301395177841187,train
HCC2108,Erlotinib,,,,0.001448584720492363,train
QGP-1,Erlotinib,,,0.0604716766752486,0.0883105918765068,train
NCI-H2085,Erlotinib,,,0.0529470600289252,0.031734611839056015,train
COLO 704,Erlotinib,,,,-0.014498195610940456,train
OV7,Erlotinib,,,,0.011393857188522816,train
SiMa,Erlotinib,,,0.0,-0.01854759082198143,train
KATO III,Erlotinib,,,,0.07362009584903717,train
L-540,Erlotinib,,,,0.005877770483493805,train
SNU-16,Erlotinib,,,0.0470671048886958,0.005067973863333464,train
EWS-502,Erlotinib,,,,0.03127409890294075,train
SU-DHL-10,Erlotinib,,,0.0,-0.006145000457763672,train
SUP-M2,Erlotinib,,,0.0,0.02534572035074234,train
HuTu 80,Erlotinib,,,,0.10756110399961472,train
SW1463,Erlotinib,,,,-0.013744508847594261,train
T84,Erlotinib,,,0.0637663383324368,0.01702796295285225,train
HCC2157,Erlotinib,,,,0.10011634230613708,train
TE 441.T,Erlotinib,,,,0.025849534198641777,train
YAPC,Erlotinib,,,,0.03929612785577774,train
MOLM-16,Erlotinib,,,,0.056894268840551376,train
Karpas-422,Erlotinib,,,0.0,0.00033144280314445496,train
PANC-1,Erlotinib,,,,0.009348666295409203,train
WM115,Erlotinib,,,0.0093040083597805,0.0587998703122139,train
HEC-50B,Erlotinib,,,,0.008412362076342106,train
Huh-7,Erlotinib,,,,0.009098573587834835,train
NCI-H2052,Erlotinib,,,0.0832065598621997,0.09595426172018051,train
697,Erlotinib,,,0.109439352447289,0.08214905112981796,train
CFPAC-1,Erlotinib,,,,0.07098045200109482,train
BT-483,Erlotinib,,,,0.03953983262181282,train
JVM-3,Erlotinib,,,0.112902060411961,0.06678292900323868,train
NCI-H2227,Erlotinib,,,,-0.009022388607263565,train
SU-DHL-4,Erlotinib,,,0.0581571366210038,-0.0039348304271698,train
Caov-4,Erlotinib,,,,0.10152551531791687,train
NCI-H2126,Erlotinib,,,,0.12409617751836777,train
HuNS1,Erlotinib,,,,0.03508683666586876,train
OCI-AML-3,Erlotinib,,,,0.041820455342531204,train
YD-15,Erlotinib,,,,0.08929465711116791,train
SNU-398,Erlotinib,,,0.0,0.013445023447275162,train
NALM-6,Erlotinib,,,,0.046752676367759705,train
COLO 668,Erlotinib,,,,0.024137863889336586,train
HEC-59,Erlotinib,,,0.0231255701168466,0.050332505255937576,train
COLO 849,Erlotinib,,,,0.10373460501432419,train
KLE,Erlotinib,,,0.0871332926716541,0.08502154052257538,train
SNU-46,Erlotinib,,,,0.09472078830003738,train
Hs 821.T,Erlotinib,,,,0.11898955702781677,train
SK-ES-1,Erlotinib,,,0.0683218629110332,0.001770542934536934,train
NCI-H1876,Erlotinib,,,,0.03627390041947365,train
NMC-G1,Erlotinib,,,,0.0738002210855484,train
COR-L279,Erlotinib,,,,-0.01062005665153265,train
LN-308,Erlotinib,,,,0.1157103180885315,train
KNS-60,Erlotinib,,,0.0080715130241218,0.05973995476961136,train
HSC-2,Erlotinib,,,0.0718212186324384,0.047680556774139404,train
KCI-MOH1,Erlotinib,,,0.163729617773422,0.04124622792005539,train
HCC4006,Erlotinib,,,0.492663395066886,0.4514731466770172,train
OELE,Erlotinib,,,,0.03221561759710312,train
JHH-7,Erlotinib,,,0.064003193556415,0.05125638097524643,train
AN3-CA,Erlotinib,,,0.0336364536691071,0.02970794588327408,train
CAL-51,Erlotinib,,,,0.0663856789469719,train
Lu-99A,Erlotinib,,,0.0935112861463288,0.053488925099372864,train
NCI-H460,Erlotinib,,,0.0156850277955704,0.05054516717791557,train
JHUEM-2,Erlotinib,,,0.0258694737726735,0.03511568158864975,train
VM-CUB-1,Erlotinib,,,,0.05150074139237404,train
MKN74,Erlotinib,,,0.034472324213695,-0.009172355756163597,train
NCI-H69,Erlotinib,,,,-0.008028330281376839,train
NCI-H889,Erlotinib,,,,0.017860107123851776,train
NCI-H2444,Erlotinib,,,0.0568650212005285,0.0247842725366354,train
MOG-G-UVW,Erlotinib,,,,0.05647020787000656,train
NU-DHL-1,Erlotinib,,,,0.02702951431274414,train
DU4475,Erlotinib,,,,0.035981349647045135,train
EFO-21,Erlotinib,,,0.0443850557242215,0.018027110025286674,train
KLM-1,Erlotinib,,,,0.0830700621008873,train
ABC-1,Erlotinib,,,,0.09759576618671417,train
SNU-626,Erlotinib,,,,0.029654258862137794,train
NCI-H2030,Erlotinib,,,0.153550545307145,0.14628629386425018,train
T.T,Erlotinib,,,,0.1250728815793991,train
HCC1954,Erlotinib,,,0.10922294838185,0.07914485782384872,train
NCI-H526,Erlotinib,,,,-0.05524192005395889,train
IMR-32,Erlotinib,,,0.0,0.009622206911444664,train
KALS-1,Erlotinib,,,0.0361256866594273,0.030295366421341896,train
OVCAR-8,Erlotinib,,,,0.036254532635211945,train
TC-71,Erlotinib,,,0.0,0.012146899476647377,train
JIMT-1,Erlotinib,,,,0.05617916211485863,train
COLO 679,Erlotinib,,,0.0172851774931118,0.05673804506659508,train
Hep-G2,Erlotinib,,,0.028461952671853,0.018932076171040535,train
NCI-H727,Erlotinib,,,0.0142250000000003,0.01738114282488823,train
Hs 840.T,Erlotinib,,,0.0148024543136501,0.16181394457817078,train
JH-EsoAd1,Erlotinib,,,,0.016159184277057648,train
TYK-nu,Erlotinib,,,7.598553230877321e-15,0.021153675392270088,train
HH [Human lymphoma],Erlotinib,,,0.0,0.011249952018260956,train
SNU-685,Erlotinib,,,,0.11857373267412186,train
Fu97,Erlotinib,,,0.0544409555382595,0.024321578443050385,train
