,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
GCT,-0.38382953,0.41496053,-0.12631221,0.60505027,-0.1885196,-0.37792766,0.2987412,0.042415515,-0.34109315,-0.21789467,0.02983263,-0.025679525,-0.15103626,-0.03723552,-0.18076465,0.34903494
KYSE-510,-0.32207137,0.052343,-0.25075772,0.6004399,-0.3256854,-0.22756326,0.18080197,0.9459697,-1.0075252,-0.7232597,0.34140342,-1.8050991,-0.74610454,0.03594185,-0.8341502,1.4822886
Hs 863.T,-0.38606372,0.3827362,-0.17512354,0.23975249,-0.41781965,-0.04094938,0.08531525,0.09393276,-0.36993185,-0.091577396,0.2894936,0.012280714,-0.19771549,-0.2870177,-0.17222086,0.42957237
Hs 274.T,-0.53687406,0.2291985,-0.18409294,0.33512682,-0.49948585,0.00037147634,-0.14655921,0.1984169,-0.23800421,-0.30748478,0.19671327,-0.32037222,-0.082077384,-0.3325842,-0.13355175,0.4065476
DU145,-1.0732871,0.18945166,-0.36392412,1.0870346,0.829043,-0.13418487,-0.5349573,-0.03391003,0.08426779,-0.3084656,1.1240716,-1.069524,-0.3762236,-0.98181784,-1.6538819,0.83629483
L3.3,0.13742931,0.38960484,-1.0827485,0.16082878,-0.9306943,0.046466753,-0.13812333,1.1340522,-0.9923561,-0.6409199,-0.06293335,-2.2677872,-1.4728179,0.16149461,-0.98881996,1.1822189
JHUEM-2,0.13709247,0.36411536,-1.1756321,0.5537093,-0.5315109,-0.7496986,1.3272771,1.9946855,-2.5433257,-1.1292392,0.6504421,-3.9833934,-2.474472,1.228816,-2.732525,2.9708748
UM-UC-3,-0.53687406,0.2291985,-0.18409294,0.33512682,-0.49948585,0.00037147634,-0.14655921,0.1984169,-0.23800421,-0.30748478,0.19671327,-0.32037222,-0.082077384,-0.3325842,-0.13355175,0.4065476
HCC1438,-0.45631948,0.2723204,-0.13251351,0.39047328,-0.28480896,-0.15944786,0.057286307,0.15986924,-0.28047603,-0.16843182,0.15966068,0.055923507,-0.13294116,-0.30949578,-0.10612388,0.4215057
JURL-MK1,-0.40585145,0.37319186,-0.13540795,0.32020664,-0.3046403,-0.087938435,0.06735396,0.05652361,-0.30356884,-0.073052615,0.25859526,0.11743971,-0.15093528,-0.33298764,-0.13750789,0.38791472
HLC-1,-0.53687406,0.2291985,-0.18409294,0.33512682,-0.49948585,0.00037147634,-0.14655921,0.1984169,-0.23800421,-0.30748478,0.19671327,-0.32037222,-0.082077384,-0.3325842,-0.13355175,0.4065476
NCI-H2023,-0.33801413,0.44746578,-0.047839873,1.1530423,0.67990327,-0.27536723,-0.16523212,-0.15563233,-0.15502496,-0.19332577,0.47306952,-0.79260635,-0.3409333,-0.537087,-0.78228205,0.61978704
NCI-H1836,-0.5213963,0.12410929,-0.21944703,0.5157793,-0.05361448,0.0562944,-0.40696847,0.1128358,-0.017404024,-0.2564903,0.35815006,-0.48790008,-0.2066647,-0.6575891,-0.3689903,0.470803
OVISE,-0.46084884,0.061654087,-0.4161971,0.48588595,-0.2922653,-0.056468252,-0.09297424,0.7735111,-0.72269964,-0.6029605,0.49930978,-1.6294583,-0.7338308,-0.24160215,-0.9686317,1.2706642
NCI-H1734,-0.6941958,0.3421927,0.044641547,0.57053906,-0.32734534,-0.3805702,0.22674854,0.31638223,-0.4680943,-0.28419584,0.08994758,0.161597,0.09601872,-0.14481938,-0.052371334,0.51482016
RCC4,-0.40585145,0.37319186,-0.13540795,0.32020664,-0.3046403,-0.087938435,0.06735396,0.05652361,-0.30356884,-0.073052615,0.25859526,0.11743971,-0.15093528,-0.33298764,-0.13750789,0.38791472
SNU-466,-0.28393614,0.33935907,-0.09361554,0.5005619,-0.11144765,-0.21106265,0.23629473,-0.08900367,-0.28536293,-0.13938077,0.23101342,-0.09381173,-0.20184001,-0.17568311,-0.2266571,0.39594895
