feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0015815766073979266,True
AATK,,,,0.01754870285206708,False
ABCA3,,,,0.007833080459019051,True
ABCC3,,,,0.00928655571098599,True
ABCC4,,,,0.002416677924068963,True
ABI1,,,,0.026636066939581565,False
ABL1,,,,0.010434114811557291,True
ABL2,,,,0.014993405778310919,False
ACACA,,,,0.0011308528482276176,True
ACACB,,,,0.0013419120502941035,True
ACOXL,,,,0.009590042408548771,True
ACSL6,,,,0.011221267596394654,True
ACVR1,,,,0.028514133847026547,False
ACVR1B,,,,0.012543968932903566,False
ACVR1C,,,,0.029257343011320054,False
ACVR2A,,,,0.015475023515540646,False
ACVR2B,,,,0.037758057169847814,False
ACVRL1,,,,0.01123627404548823,True
ADAM10,,,,0.0272063847465869,False
ADAM12,,,,0.002314036383374931,True
ADAM17,,,,0.019474353331977383,False
ADAM18,,,,0.018936968523782672,False
ADAM22,,,,0.02127219338561132,False
ADAM28,,,,0.013224770699577485,False
ADAM29,,,,0.01114593011047269,True
ADAM32,,,,0.022918911410793514,False
ADAMTS18,,,,0.0006339852051780323,True
ADAMTS19,,,,0.010006903602651291,True
ADAMTS2,,,,0.017767382999430446,False
ADAMTS20,,,,0.008261163463198466,True
ADAMTSL3,,,,0.0009230824847751,True
ADARB2,,,,0.036870227632010304,False
ADCK1,,,,0.027902841082178494,False
ADCK2,,,,0.03671406060572692,False
ADCK4,,,,0.00496702274346722,True
ADCK5,,,,0.015765863726842057,False
ADHFE1,,,,0.0245298545959616,False
ADK,,,,0.04491441862838213,False
ADRBK1,,,,0.012130421875108996,False
ADRBK2,,,,0.022866661058360004,False
AFF1,,,,0.025077077103753675,False
AFF3,,,,0.0060464461751301955,True
AFF4,,,,0.008785968151938021,True
AGAP2,,,,0.013426383119611168,False
AIFM1,,,,0.04352542982706549,False
AIFM3,,,,0.04600239982927164,False
AIM1,,,,0.02213768191747076,False
AKAP12,,,,-0.009197116215686904,True
AKAP4,,,,0.022608653886993887,False
AKAP6,,,,-0.00019131372435516298,True
AKAP9,,,,0.007881609718916603,True
AKT1,,,,0.014885150160790601,False
AKT2,1.0,,False,0.01591967105496093,False
AKT3,,,,0.03168122430013154,False
ALDH7A1,,,,0.048145892472759876,False
ALK,0.0,0.0042312608436076305,True,0.014854478084740125,False
ALPK1,,,,0.023326033968032272,False
ALPK2,,,,0.010483220721592527,True
ALPK3,,,,0.03349993163165825,False
ALS2,,,,0.001863544984066634,True
AMHR2,,,,0.009953829057837463,True
AMZ2,,,,0.04767538776890347,False
ANAPC5,,,,0.024165998457442307,False
ANGPTL4,,,,0.020376177786592738,False
ANKK1,,,,0.025252691706067604,False
APAF1,,,,0.03414450722379184,False
APBB1IP,,,,0.02747508312788804,False
APC,0.0,0.04584266601488154,True,0.0032775635006996135,True
AR,,,,0.017455262073080565,False
ARAF,,,,0.016432157006903068,False
ARFGEF1,,,,0.01811121687735707,False
ARHGAP26,,,,0.01777231324354321,False
ARHGAP29,,,,0.029430776913473598,False
ARHGDIB,,,,0.04464628415506602,False
ARHGEF10,,,,0.005061937974188982,True
ARHGEF12,,,,0.01609093501972,False
ARHGEF7,,,,0.0319780526465819,False
ARID1A,,,,0.009197009637587366,True
ARNT,,,,0.01860650623822458,False
ASH2L,,,,0.04386083486232378,False
ASPH,,,,0.012842157308153747,False
ASPSCR1,,,,0.013985974515752791,False
