,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69
MDA-MB-134-VI,0.43457785,0.4547852,-0.37269366,-1.4272302,0.14537232,0.48224023,0.009675677,0.6082889,-0.55564713,-0.81633455,0.21517153,0.37515488,-0.26574135,0.04157221,0.14799772,1.0095875,1.1238433,-0.8986859,-0.36906713,1.0307043,-0.1778164,-0.43921092,0.05988459,0.42930692,-0.032231316,0.057040185,0.051126953,-1.1496829,0.7236419,-0.13269012,-0.16110842,1.235859,0.3949966,0.11639799,0.4398975,0.24075948,0.43199435,-0.130505,-0.026655814,-0.36673784,-0.1690955,-0.5441706,-0.25002602,-0.7673791,0.45317942,0.28964058,0.18054892,0.075668216,-0.106346846,-0.53572196,0.29213858,-0.37565958,0.48535982,-0.4975128,-0.18056007,-0.49602246,0.07401043,-0.6111889,0.08413529,-0.6139468,0.084663376,0.39176667,-0.018445108,-0.31179515,-0.086362995,0.23141661,-0.43827102,0.42114913,0.02935155,0.13688955
CMK,-1.1087457,0.4079593,0.11560463,0.2875596,1.9046845,-1.0299504,2.1596515,-0.028538452,0.87607753,-0.09572749,0.18711555,-0.0045749904,1.7212187,-0.60102165,-1.6155348,-0.72717226,-1.1088629,-0.32003623,-0.15802324,-2.6127586,1.081892,0.50084263,1.4083579,1.3256505,1.2614977,0.7726907,-0.20450017,0.22789113,1.3176593,-0.22659199,-0.31791732,-2.2299912,-0.766699,0.088836536,-1.560112,-0.19571528,0.7429428,-0.10778259,-0.38271025,-0.73916245,-0.0685522,-0.46859837,-0.470062,-0.3760567,-0.17242834,0.08742268,-0.07298779,0.6018595,-0.27089095,-0.5702914,0.41065192,0.08524476,0.061402034,-0.49664184,-0.18197961,-0.5779135,0.14821923,-0.28216726,-0.037169162,-0.46133193,-0.08494529,0.39314246,-0.38250086,-0.059719287,0.033458278,0.6492553,-0.45219305,0.5617397,-0.008893545,-0.08482269
HSC-2,0.062180284,-0.22252686,0.074538715,-0.06876319,-0.068213664,-0.056599237,0.07715485,0.5252088,0.105560765,0.19427982,-0.34937042,0.36013573,-0.5719643,-0.094393834,0.222571,0.88565034,0.6206149,0.3736726,0.1617289,0.7214775,-0.12876967,-0.71070206,-0.4849868,0.03419033,0.2806281,-0.32557517,-0.2707845,0.5410519,-0.6472765,-0.45052984,0.004150011,0.24568747,0.51562726,-0.0701028,0.46009475,-0.14982113,0.42065275,-0.4424132,-0.233745,-0.7522223,-0.3434206,-0.47669652,-0.16150358,-0.43939963,0.44611335,0.39367518,0.26658118,0.105748415,-0.2383004,-0.54061085,0.016217144,-0.32279843,0.2961515,-0.22492343,0.014604695,-0.47020552,-0.059013672,-0.64962316,0.23550013,-0.5366968,-0.19675165,0.28913888,-0.3231658,-0.3961215,-0.16836728,0.1324135,-0.30528083,0.4735677,0.017359143,0.32551745
KP-3,0.058002755,-0.22350252,0.07589987,0.15348534,0.314331,0.010603518,-0.4872293,0.13751964,-0.21408862,-0.038144175,-0.49007067,0.2464178,0.18447797,-0.1496319,0.37812713,0.44410855,0.26671708,0.20026104,-0.19495995,0.35323358,0.25557402,-0.16352575,0.14217801,-0.18715587,0.16014045,0.22730725,0.22216591,-0.12517716,0.30297282,-0.35564813,-0.17187417,0.03483978,-0.13175984,-0.01896762,-0.11298343,0.09637526,0.39634258,0.10441575,-0.18079028,-0.37348562,-0.08770132,-0.47822204,-0.41988948,-0.54004985,0.13307102,0.21252649,0.2122766,0.42906713,-0.10455117,-0.58817935,0.49884292,-0.0719749,0.25004658,-0.4713435,-0.3023496,-0.47969243,0.11534092,-0.42393047,0.18484047,-0.5740702,0.082286224,0.35077703,-0.18979083,-0.1372668,-0.1277774,0.4104312,-0.6400127,0.56430626,0.07280488,-0.051639386
HCC1143,0.20315494,-0.25606978,0.3895326,-0.49097997,-0.025779791,0.7150863,-0.5446984,0.77176297,-0.18249491,0.6549028,-0.18877013,0.5873083,-1.5608857,-0.36554864,0.40506285,1.5143973,0.032842763,0.935739,-0.14013009,1.6948537,-0.85166425,-1.139666,-0.8751689,0.39231494,-0.26776403,-0.6781116,-0.27229023,0.4222732,-1.0595039,-0.09949414,-0.33373043,0.72621256,1.2423182,-0.416011,1.1443825,-0.09139485,0.45446402,-0.24710365,-0.13830768,-0.6257218,-0.264413,-0.33327207,-0.21712328,-0.4414522,0.28705552,0.32369906,0.2561597,0.14455743,-0.2164886,-0.42113033,0.15308511,-0.32561842,0.21605518,-0.18799405,-0.02975893,-0.37481126,-0.02017219,-0.44935417,0.1659504,-0.4342912,-0.11862546,0.36260605,-0.2292323,-0.3761401,-0.14642318,0.23940906,-0.35965446,0.33284852,-0.081246905,0.15671933
DU145,-0.079678,-0.22694741,-0.034840073,0.02448832,0.18806021,0.2810276,-0.19663805,0.4865614,-0.22157213,-0.3275272,-0.41936737,0.124738514,-0.17829674,-0.43024307,0.31280798,0.4459945,0.11804699,0.28055507,-0.27323356,0.38554817,0.008347854,-0.34057668,-0.16124775,0.17559725,0.2074954,-0.02610733,0.07846253,0.04898306,-0.095321074,-0.29703617,-0.03408096,0.21704546,0.349074,0.090771995,0.117400505,-0.48011234,1.131347,-0.19405459,-0.9408214,-1.1338259,0.11024875,-0.9039135,-0.7877899,-0.23698267,-0.66090477,-0.17044175,-0.56101835,1.2877134,-0.39460003,-1.0029316,0.6014116,0.76227134,-0.07888081,-1.0254376,-0.35343003,-1.0465709,0.34683645,-0.3305767,-0.22354354,-0.6640687,-0.16868904,0.31308827,-0.8013612,0.41542217,0.26999244,1.1273263,-0.5251253,1.1641004,0.26893064,-0.19907373
F5,1.580335,0.56231445,0.900691,-1.2270938,-0.8758475,1.8379579,-0.36542463,0.8963783,-0.45696148,1.6246073,0.74175084,-0.23375957,-3.413454,1.995533,0.34085536,2.7131395,0.8483292,0.94053376,-0.24169561,2.6358807,-2.4461348,-1.4250282,-1.6571887,1.5387785,-1.258273,-1.3208741,-0.60688955,0.17129177,-0.8097956,0.3831571,-0.3253627,2.7883055,2.7425053,0.4680822,2.5020711,-0.14982113,0.42065275,-0.4424132,-0.233745,-0.7522223,-0.3434206,-0.47669652,-0.16150358,-0.43939963,0.44611335,0.39367518,0.26658118,0.105748415,-0.2383004,-0.54061085,0.016217144,-0.32279843,0.2961515,-0.22492343,0.014604695,-0.47020552,-0.059013672,-0.64962316,0.23550013,-0.5366968,-0.19675165,0.28913888,-0.3231658,-0.3961215,-0.16836728,0.1324135,-0.30528083,0.4735677,0.017359143,0.32551745
SUP-T11,-2.6479733,-0.025196336,0.1906961,-0.15072523,2.0481787,-0.4436127,3.5875874,0.2795517,-1.0264615,-1.6248853,-0.53646845,-0.07758222,2.4515312,-1.0803488,-1.1821536,-1.9189976,-1.3721501,-0.07319266,0.5578395,-4.207524,0.32404068,-0.56919235,1.236871,1.3595265,2.311321,0.4320564,-0.09919949,1.1208098,2.3921506,-0.15540041,1.0428886,-2.046376,-1.4638244,1.0379547,-2.1180093,-0.14982113,0.42065275,-0.4424132,-0.233745,-0.7522223,-0.3434206,-0.47669652,-0.16150358,-0.43939963,0.44611335,0.39367518,0.26658118,0.105748415,-0.2383004,-0.54061085,0.016217144,-0.32279843,0.2961515,-0.22492343,0.014604695,-0.47020552,-0.059013672,-0.64962316,0.23550013,-0.5366968,-0.19675165,0.28913888,-0.3231658,-0.3961215,-0.16836728,0.1324135,-0.30528083,0.4735677,0.017359143,0.32551745
SNU-C5,0.050452013,-0.40526217,0.054555178,-0.84883255,0.11430857,0.2540395,-0.5126674,0.5880418,-0.12147346,-0.2981947,0.023507489,0.5801075,-0.5810235,-0.33099115,-0.26272815,1.2661085,0.8085428,0.22106752,-0.37101275,1.4127392,0.15330446,-0.17611182,0.11357429,-0.15417656,-0.13940921,-0.22782134,-0.13409913,-0.5817921,0.21281222,-0.8363477,-0.2782312,0.6421542,0.49748445,-0.3247586,0.18218464,-0.54182607,1.2335148,-0.232415,-1.0751075,-1.2343028,0.15131168,-1.0241443,-0.85872114,-0.21870844,-0.76338214,-0.23174322,-0.6898439,1.4412055,-0.42589563,-1.1136907,0.63730174,0.91728747,-0.09664454,-1.1671075,-0.39085656,-1.1708963,0.39600548,-0.35871997,-0.278282,-0.72177595,-0.18908696,0.29455882,-0.8975941,0.52740747,0.33415642,1.2382196,-0.5311475,1.3128607,0.33999348,-0.21491846
KM-H2,-1.9469718,0.38782293,0.37102714,0.024960343,1.823998,-0.5161529,2.5089278,0.15658382,0.069082454,-0.68962944,0.107771054,-0.2992977,1.8974848,-0.7059503,-1.4406707,-0.92492217,-1.1570023,-0.5869556,-0.31443217,-2.5288634,0.6431682,-0.21986844,0.7826372,1.4152817,1.5208308,0.17849244,-0.19063479,0.6994792,2.0239198,-0.4322807,0.4427243,-1.445424,-0.70563644,1.2214268,-1.6226425,0.24075948,0.43199435,-0.130505,-0.026655814,-0.36673784,-0.1690955,-0.5441706,-0.25002602,-0.7673791,0.45317942,0.28964058,0.18054892,0.075668216,-0.106346846,-0.53572196,0.29213858,-0.37565958,0.48535982,-0.4975128,-0.18056007,-0.49602246,0.07401043,-0.6111889,0.08413529,-0.6139468,0.084663376,0.39176667,-0.018445108,-0.31179515,-0.086362995,0.23141661,-0.43827102,0.42114913,0.02935155,0.13688955
