feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0022184565198552337,True
AATK,,,,0.01755627302837001,False
ABCA3,,,,0.007854198970023232,True
ABCC3,,,,0.009316498404521388,True
ABCC4,,,,0.002420661151332591,True
ABI1,,,,0.026648554487418107,False
ABL1,,,,0.016551604248076817,False
ABL2,,,,0.01501890076396418,False
ACACA,,,,0.001162574227436059,True
ACACB,,,,0.0013712448576836348,True
ACOXL,,,,0.009597000593610945,True
ACSL6,,,,0.011221677939439713,True
ACVR1,,,,0.02844844478030994,False
ACVR1B,,,,0.012552926702101211,False
ACVR1C,,,,0.029273184338833993,False
ACVR2A,,,,0.015510317242784191,False
ACVR2B,,,,0.03778073600416332,False
ACVRL1,,,,0.011237747313802303,True
ADAM10,,,,0.02721770790367425,False
ADAM12,,,,0.0023345984297134933,True
ADAM17,,,,0.019472511392429916,False
ADAM18,,,,0.020379669933874585,False
ADAM22,,,,0.021319427334867063,False
ADAM28,,,,0.013237516006035798,False
ADAM29,,,,0.011150120486389466,True
ADAM32,,,,0.024681851014157572,False
ADAMTS18,,,,0.000667339287182235,True
ADAMTS19,,,,0.010060050593286886,True
ADAMTS2,,,,0.01780569963817793,False
ADAMTS20,,,,0.008307126785914548,True
ADAMTSL3,,,,0.0009648384762432476,True
ADARB2,,,,0.03687480258874796,False
ADCK1,,,,0.02247654467663357,False
ADCK2,,,,0.03671472035431097,False
ADCK4,,,,0.0049765525857819164,True
ADCK5,,,,0.01577846432914339,False
ADHFE1,,,,0.02454327434225317,False
ADK,,,,0.044925140927765894,False
ADRBK1,,,,0.012131113811087356,True
ADRBK2,,,,0.022891819675058416,False
AFF1,,,,0.031043124399054756,False
AFF3,,,,0.006084865578221638,True
AFF4,,,,0.008824835666608103,True
AGAP2,,,,0.013468936427854005,False
AIFM1,,,,0.04351604570596464,False
AIFM3,,,,0.05351044080923563,False
AIM1,,,,0.022158795623235927,False
AKAP12,,,,-0.007496752142677104,True
AKAP4,,,,0.022576597400514566,False
AKAP6,,,,-0.0001595939197875898,True
AKAP9,,,,0.007594872839823202,True
AKT1,,,,0.014885556340657663,False
AKT2,1.0,,False,0.01592462043259431,False
AKT3,,,,0.031692263342034246,False
ALDH7A1,,,,0.048161523146152824,False
ALK,0.0,0.0042312608436076305,True,0.014149101276864001,False
ALPK1,,,,0.02334232128298895,False
ALPK2,,,,0.010738434254004652,True
ALPK3,,,,0.03348768187630747,False
ALS2,,,,0.0019013428232970008,True
AMHR2,,,,0.00996907848475038,True
AMZ2,,,,0.05950252898928963,False
ANAPC5,,,,0.024183467052522452,False
ANGPTL4,,,,0.020378056163084565,False
ANKK1,,,,0.025254210652689797,False
APAF1,,,,0.03416955917077043,False
APBB1IP,,,,0.02749977703510363,False
APC,0.0,0.04584266601488154,True,0.003713616636468602,True
AR,,,,0.018601660813206126,False
ARAF,,,,0.016442495717294857,False
ARFGEF1,,,,0.01813785798214942,False
ARHGAP26,,,,0.017794584817804864,False
ARHGAP29,,,,0.02381063421968633,False
ARHGDIB,,,,0.04465471068059775,False
ARHGEF10,,,,0.00506320005360603,True
ARHGEF12,,,,0.016110412442100482,False
ARHGEF7,,,,0.032006677413146695,False
ARID1A,,,,0.009237248383461709,True
ARNT,,,,0.018608556190189363,False
ASH2L,,,,0.0438615582464449,False
ASPH,,,,0.013245331075678466,False
ASPSCR1,,,,0.013984519918325633,False
ASTN1,,,,0.010336881107155365,True
ATF1,,,,0.04668594772516824,False
ATF2,,,,0.011828967981850248,True
ATIC,,,,0.011322465615367183,True
ATM,,,,0.0057979882932841335,True
ATP10A,,,,0.010659009944492195,True
ATP11A,,,,0.013795727608187671,False
ATP13A5,,,,0.013096348073712188,False
ATP5S,,,,4.3302769346655445e-06,True
ATP8B1,,,,0.017456324334355507,False
ATR,,,,0.008567062472899982,True
ATRX,,,,0.013842280678278055,False
AURKA,,,,0.012782174472630494,False
AURKB,,,,0.037100571701628636,False
AURKC,,,,0.05831646057009112,False
AXIN1,,,,0.02370344155934392,False
AXIN2,,,,0.021704503678874103,False
AXL,,,,0.01762134690448567,False
B3GALT6,,,,0.029065123536310744,False
BAD,,,,0.06698070049397853,False
BAG4,,,,0.015339512797949198,False
BAI1,,,,0.01828186167552607,False
BAI3,,,,0.01386679478704335,False
BAK1,,,,0.00027050068230191713,True
BAP1,,,,0.01551494685073933,False
BAT3,,,,0.008165168350723267,True
BAX,,,,0.017456176128808797,False
BCAR1,,,,0.04393032101819617,False
BCKDK,,,,0.03838833641772304,False
BCL10,,,,0.0294621924841075,False
BCL11A,,,,0.0073632687774196435,True
BCL11B,,,,0.016318505960041765,False
BCL2,,,,2.1342786739194e-05,True
BCL2A1,,,,0.10040079193671529,False
BCL2L1,,,,0.026971415198914137,False
BCL2L11,,,,0.03717232449975441,False
BCL2L2,,,,4.04393444404136e-06,True
BCL3,,,,0.031422318136432564,False
BCL6,,,,0.012815016656861801,False
BCL7A,,,,8.090643774480744e-06,True
BCL9,,,,0.012814113275602926,False
BCR,,,,0.024473505724645742,False
BGLAP,,,,4.313098404683889e-06,True
BID,,,,0.0002660881561040743,True
BIK,,,,0.028637889594065977,False
BIRC2,,,,0.014083945234400602,False
BIRC3,,,,0.031037733501950545,False
BIRC5,,,,0.04060723051164992,False
BIRC6,,,,0.016175823040133964,False
BLK,,,,0.0286827749681871,False
BLM,,,,0.010472967703114814,True
BLNK,,,,0.029923802845056306,False
BMF,,,,0.04508201749881903,False
BMI1,,,,0.03159341730704774,False
BMP2K,,,,0.024185163730610557,False
BMP4,,,,0.04713977180520418,False
BMPR1A,,,,0.0143769488603931,False
BMPR1B,,,,0.03200384865997264,False
BMPR2,,,,0.012890931969059816,False
BMX,,,,0.0029095396536575084,True
BNIP3,,,,0.086474744279535,False
BOK,,,,4.313098404683889e-06,True
BRAF,0.0,0.0801174815984229,True,0.006540834225873425,True
BRCA1,0.0,0.0028248474382039576,True,0.019558929288224027,False
BRCA2,0.0,0.008426459805025422,True,0.007204708385652372,True
BRCC3,,,,0.0404197520127048,False
BRD2,,,,0.016116904199298468,False
BRD3,,,,0.025011711490885907,False
BRD4,,,,0.02796607698765512,False
BRDT,,,,0.023401399024224556,False
BRF2,,,,0.1504751523713345,False
BRIP1,,,,0.0080186669492191,True
BRSK1,,,,0.02849774677657068,False
BRSK2,,,,0.03532009907905229,False
BTG1,,,,0.033584865037653885,False
BTK,,,,0.026380826282297584,False
BTRC,,,,0.03172207462301938,False
BUB1,,,,0.03026992184603378,False
BUB1B,,,,0.018000519016433476,False
C15orf2,,,,0.009129880260790478,True
C15orf55,,,,0.021746256168187404,False
C17orf37,,,,0.10020455508849878,False
C6orf97,,,,0.03122514397456103,False
C9orf96,,,,0.018170822999394133,False
CABC1,,,,0.018435625133271787,False
CACNA1F,,,,0.017725439304969032,False
CACNB2,,,,0.017209548994295953,False
