sample_id,variable,class_label,probability,known_label,predicted_label,split
SNU-175,Erlotinib,,,,0.0995800644159317,train
143B,Erlotinib,,,,0.061766088008880615,train
Capan-2,Erlotinib,,,0.0555885170622082,0.061766088008880615,train
SJSA-1,Erlotinib,,,0.0369315976788424,0.03355975076556206,train
KYSE-450,Erlotinib,,,0.208821358045585,0.06464000046253204,train
P31/FUJ,Erlotinib,,,0.010075471775247,0.045508503913879395,train
Lu-65,Erlotinib,,,,0.0452064573764801,train
LoVo,Erlotinib,,,,0.03539583086967468,train
SW837,Erlotinib,,,,0.038629136979579926,train
OV7,Erlotinib,,,,0.061766088008880615,train
NU-DHL-1,Erlotinib,,,,0.057231537997722626,train
SU-DHL-8,Erlotinib,,,0.0060804652612669,0.04428599402308464,train
KNS-62,Erlotinib,,,0.0,0.033414676785469055,train
SH-4,Erlotinib,,,,0.06052374467253685,train
HMC-1-8,Erlotinib,,,0.0194228408584924,0.057231537997722626,train
SNU-520,Erlotinib,,,,0.0679854303598404,train
OVTOKO,Erlotinib,,,0.105820028525121,0.03355975076556206,train
NCI-H1915,Erlotinib,,,0.0466802928699457,0.057213976979255676,train
LC-1F,Erlotinib,,,,0.057213976979255676,train
HuG1-N,Erlotinib,,,,0.08987702429294586,train
HLF,Erlotinib,,,0.0197482195163892,0.057213976979255676,train
LCLC-97TM1,Erlotinib,,,,0.057231537997722626,train
H4,Erlotinib,,,0.0303917922741951,0.03355975076556206,train
BJ1-hTERT,Erlotinib,,,,0.057213976979255676,train
TCCSUP,Erlotinib,,,0.0053850991607237,0.03355975076556206,train
COV318,Erlotinib,,,0.0,0.02016332745552063,train
VMRC-LCD,Erlotinib,,,9.30474122692297e-16,0.057213976979255676,train
Hs 939.T,Erlotinib,,,0.0189969794046147,0.06052374467253685,train
NCI-H1385,Erlotinib,,,,0.061766088008880615,train
NCI-H1792,Erlotinib,,,0.0354342546126242,0.057231537997722626,train
CMK,Erlotinib,,,,0.033414676785469055,train
NCI-H2126,Erlotinib,,,,0.06975926458835602,train
RERF-LC-A1,Erlotinib,,,0.039469144135859,0.1022086963057518,train
Hs 751.T,Erlotinib,,,,0.03355975076556206,train
L-1236,Erlotinib,,,,0.03355975076556206,train
NCI-H524,Erlotinib,,,,0.057213976979255676,train
MHH-CALL-2,Erlotinib,,,,0.03545719012618065,train
JMSU-1,Erlotinib,,,0.110923506771192,0.041245363652706146,train
HCC-56,Erlotinib,,,0.0570985978077439,0.02469692751765251,train
NCO2,Erlotinib,,,0.105692436087806,0.057213976979255676,train
SUP-HD1,Erlotinib,,,,0.02526882290840149,train
GP2d,Erlotinib,,,,0.0774514377117157,train
NCI-H1838,Erlotinib,,,,0.06464000046253204,train
HCC38,Erlotinib,,,,0.057213976979255676,train
NCI-H520,Erlotinib,,,0.0,0.057213976979255676,train
P3HR-1,Erlotinib,,,0.0,0.0250261127948761,train
Hs 834.T,Erlotinib,,,,0.03355975076556206,train
SW948,Erlotinib,,,,0.04131010174751282,train
PL-21,Erlotinib,,,,0.057231537997722626,train
L3.3,Erlotinib,,,0.128358214225068,0.04839073866605759,train
HuCC-T1,Erlotinib,,,0.0758539329680988,0.0387384332716465,train
SaOS-2,Erlotinib,,,0.0053370879909102,0.06265527009963989,train
NCI-H1975,Erlotinib,,,0.0464013068654505,0.059952303767204285,train
LN-382,Erlotinib,,,,0.057213976979255676,train
NCI-H747,Erlotinib,,,0.0854438275693443,0.04014406353235245,train
P12-Ichikawa,Erlotinib,,,0.0423395601743679,0.0640408992767334,train
NCI-H929,Erlotinib,,,,0.028912033885717392,train
MKN1,Erlotinib,,,,0.04442322999238968,train
DMS 153,Erlotinib,,,,0.041245363652706146,train
COLO 677,Erlotinib,,,0.0094709590747711,0.057213976979255676,train
LC-1/sq-SF,Erlotinib,,,0.115469678393687,0.057213976979255676,train
UM-RC-6,Erlotinib,,,,0.057213976979255676,train
