,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36
A-172,66.39187,145.14548,130.6171,-28.667452,129.7886,109.96506,-148.06303,-16.481283,24.68541,-115.01475,-0.17949647,-40.522614,60.952595,92.89218,135.86917,-122.307205,60.317596,55.731476,-32.99565,-177.91365,103.10435,0.6195749,-38.362072,-34.006813,-102.4196,-134.23477,-142.7282,65.72734,16.20234,11.55693,54.36179,-46.9531,-10.783517,-156.37285,-196.86923,-159.90877,-78.96645
SU.86.86,-2.8074417,103.024506,115.30625,-35.301018,73.20461,57.087543,-119.91265,-113.81721,114.17386,-91.781715,-163.18579,-31.07815,21.519009,128.60977,99.66393,-122.25737,0.2698401,50.359108,51.955936,-160.43268,45.961716,127.28816,-49.103157,-60.285793,-133.41002,-82.90115,-104.68137,127.056465,127.985916,93.23436,-13.374071,-34.223827,9.029007,-103.28602,-77.529076,-49.16517,-8.317868
KALS-1,71.00747,148.53416,122.71388,-33.612053,127.20842,89.9964,-148.00552,-24.184593,14.767251,-119.10152,1.5098453,-44.829426,68.861336,85.7791,137.72667,-112.799194,57.400448,54.444736,-37.352776,-167.60518,104.644936,4.6531377,-46.58344,-33.86706,-101.42806,-136.14847,-144.44037,71.412476,18.71048,10.485057,60.090424,-35.64127,0.019390434,-153.72964,-196.84967,-159.78479,-83.95265
ES-2,29.450459,99.617325,64.15735,-32.603954,98.68061,47.16725,-92.00719,9.440516,16.712961,-77.7506,-1.2077959,-24.54607,56.13497,57.87354,70.885056,-89.340164,-11.948215,57.926464,-44.09801,-101.816826,90.231224,-2.2465892,-25.21707,-20.364882,-60.931065,-88.39674,-93.374535,32.81523,33.041943,13.293214,55.776028,2.8131294,4.421805,-103.44698,-126.32323,-128.4337,-70.00165
HEC-108,419.50406,1150.673,373.30573,-1119.0708,1167.994,-21.536161,-1174.9188,-1074.4414,633.8402,-1178.6177,-868.35645,-1205.7556,1164.6713,1017.30536,684.5449,-1312.7627,-877.9209,916.72986,-178.94536,-1173.0889,1255.1,1138.907,-923.635,-1130.6599,-1150.2732,-976.6341,-1275.0459,1199.9227,1124.8464,724.24994,670.8233,715.57825,950.6191,-936.93774,-927.48724,-1032.448,-856.5302
NCO2,14.878424,211.35127,-164.29573,-9.532067,255.26045,86.870384,-215.76346,3.183987,-128.97166,-266.3048,145.48993,-151.2343,240.49675,246.13213,-12.048223,-241.28645,-318.7294,105.82063,-204.94353,-14.011428,256.844,249.29532,-105.95271,-188.41737,-24.933676,-170.92674,-179.91693,169.87015,170.7794,-25.731361,16.344769,260.65198,223.31071,-198.7543,-65.43043,-245.41924,-280.7703
Raji,42.055336,181.77016,-166.1953,-93.19308,318.91794,80.09277,-198.72795,30.345964,-60.3919,-366.59464,143.86198,-161.12007,305.6686,284.78912,-42.25185,-298.73663,-460.19617,104.86827,-210.05365,-17.618446,377.63416,346.67905,-143.85675,-254.69197,-82.36283,-224.36646,-210.625,229.77559,317.8697,53.955788,28.308304,288.7353,305.2643,-161.29265,-85.367386,-256.53412,-319.9593
TOV-112D,27.240585,62.06435,5.050265,-59.083435,62.297802,-3.546036,-37.988716,12.0945425,-13.867225,-88.29938,-7.750876,-36.906246,62.282967,23.639551,20.110489,-34.64994,-83.28264,48.705994,-35.71158,-40.722652,57.93315,10.482805,-49.19703,-58.345646,-2.7754366,-73.79791,-78.84178,35.874866,14.547322,8.847383,69.578094,45.371433,35.58434,-46.99456,-77.37437,-97.73655,-74.013596
KYSE-180,-31.440847,51.543556,63.31216,-33.04359,-12.486258,-61.441257,-41.11433,-97.9462,87.114174,-50.544434,-171.11145,-14.788798,-14.905456,48.77128,75.80353,-19.773428,12.381795,38.028046,60.714493,-92.105034,-32.59384,89.41098,-43.91174,-31.955845,-67.187904,-38.776672,-33.828835,116.765305,64.686066,40.647064,-15.992856,-33.630135,4.592695,-33.71272,-32.795467,27.900856,25.659151
SUP-HD1,3.5154502,141.12354,-75.298225,-42.055935,183.08342,45.158527,-131.35468,17.758102,-60.739693,-200.665,70.27317,-84.55914,165.59293,173.33768,-0.76048654,-174.6901,-254.6156,43.716396,-154.72705,-43.005707,197.4959,168.07426,-71.89796,-130.51978,-27.470345,-124.82488,-140.72318,102.77215,142.80446,-0.1870006,30.365505,176.05757,143.23674,-125.10354,-58.596535,-184.73619,-207.38232
TT,22.30144,86.2939,42.541718,-125.18827,62.040462,-45.81336,-63.526737,-50.767765,11.517053,-115.35859,-123.721466,-55.672188,74.07422,22.667793,22.912325,-20.241909,-128.36134,14.84244,-8.061295,-41.153465,58.07928,51.750828,-93.34251,-125.02331,-25.488588,-88.48479,-132.88145,83.38346,66.09501,87.76268,91.29575,76.65314,66.85825,-54.852806,-77.52146,-135.41617,-61.171646
BJ1-hTERT,137.6228,234.50816,200.00165,-32.28244,214.65381,200.31859,-248.5111,-21.619698,10.184566,-204.04504,59.37333,-76.8631,109.38736,149.88588,221.30829,-201.14526,105.72042,51.519657,-61.073387,-266.3898,178.3299,25.910591,-84.60263,-60.956455,-169.51836,-224.4544,-215.77829,104.66193,46.55092,-11.9327135,56.35457,-69.46044,8.564856,-253.11987,-297.7936,-252.40224,-148.60785
NCI-H1341,6.7398443,59.771748,29.223003,-61.705204,34.64031,-32.22456,-43.983345,-27.171637,8.433838,-74.47786,-77.318665,-30.311178,39.77744,31.294508,34.958923,-16.337597,-51.247353,28.816044,-13.920748,-48.651722,30.869156,37.419704,-48.603985,-61.332947,-21.59297,-64.995155,-84.07516,73.25511,32.447643,31.161331,47.316956,21.626604,26.901379,-44.645054,-62.36193,-69.5754,-36.820652
SK-N-SH,48.595055,97.68421,108.54457,-76.134575,103.865,37.537235,-98.38544,26.786995,-11.101814,-96.459946,-9.179187,-33.449852,56.337574,28.33729,86.5347,-62.222332,-11.867088,28.35062,-44.06244,-114.68999,88.88418,-31.867397,-61.43857,-69.20988,-49.313793,-120.14693,-137.46985,24.091043,-2.1837971,15.116812,104.066826,2.06558,3.8264568,-118.65407,-156.56503,-181.6065,-81.00372
KP-N-RT-BM-1,14.508547,41.872528,27.010386,-167.03484,60.936325,-88.03137,-11.378684,48.995296,-55.80158,-92.4959,-74.8738,-35.515965,82.908356,-27.271524,-34.538105,7.088598,-209.22466,6.5808797,-71.75061,-2.5637732,84.265335,-8.161782,-90.934456,-152.19461,35.23909,-88.54459,-146.13068,14.434777,32.333763,61.28531,172.59305,120.49698,60.467693,-34.229416,-71.591835,-190.54507,-92.06453
PCM6,14.296395,178.61507,-117.68863,-37.01753,252.35497,100.08294,-188.16978,11.860413,-78.50683,-273.61182,116.21078,-117.71297,229.13992,250.8487,-17.066462,-255.43192,-322.32767,83.150116,-210.50487,-47.804718,276.25833,256.89642,-93.22153,-185.57256,-55.748802,-165.26608,-181.0854,166.84921,213.34274,1.9210495,14.135949,219.71854,201.84276,-156.49342,-65.38093,-241.46167,-267.99997
G-401,22.936157,71.342445,8.593124,-46.426178,73.34372,17.195417,-49.5321,7.702463,-2.9708378,-95.57806,4.0091543,-33.736668,65.85407,45.002796,24.387978,-60.157433,-81.51304,51.71847,-49.424316,-53.794342,68.62292,24.672121,-37.86783,-58.207455,-7.504085,-75.22298,-74.751816,46.701973,37.379395,3.39669,53.269695,45.627712,37.119644,-58.825974,-79.52315,-96.16378,-73.615616
786-O,4.9107327,111.740685,58.155483,-7.373493,80.42529,66.819824,-98.84911,-35.200123,38.16989,-72.481186,-50.5685,-17.041397,53.613037,80.465324,82.54235,-89.38982,44.930973,68.96952,-13.383073,-122.88539,54.665607,17.023071,-15.649788,-9.971446,-74.469185,-74.6525,-99.62755,82.81426,15.713414,27.91179,31.676582,-22.443558,-8.374342,-89.8739,-127.18449,-97.483734,-27.297432
HGC-27,45.887768,95.038666,17.563663,-58.578453,96.12085,21.039606,-82.01583,-2.45929,-13.761532,-124.68712,12.736982,-63.295216,83.09379,49.229733,58.852097,-70.19713,-64.32264,54.78058,-40.46677,-70.40899,89.416756,33.58428,-68.97615,-69.385666,-33.150845,-104.20097,-100.72758,61.61169,28.249033,4.5586667,63.881565,47.87488,52.43571,-84.36034,-110.15894,-122.59524,-105.306465
AN3-CA,35.25425,94.741,19.339315,-76.34555,91.98355,10.349762,-72.18365,-23.925718,4.8621674,-112.95569,-15.358688,-71.42685,91.099785,57.086178,42.646812,-84.36235,-92.241516,70.92946,-49.571434,-78.94566,90.15086,41.87751,-60.81666,-78.88897,-37.951916,-89.307724,-102.03651,66.48991,48.682655,16.930647,75.959145,63.10342,54.93748,-71.68577,-96.27371,-112.69976,-91.678055
COLO 704,13.08282,52.42174,-16.074232,-127.94242,56.40603,-73.21757,-14.763097,10.162427,-26.819294,-96.25681,-58.374172,-43.236233,87.57849,0.38030612,-21.928648,-7.511389,-181.07135,35.64182,-60.909794,6.4063196,76.57652,25.608225,-78.83026,-113.11349,21.345186,-72.69416,-105.03031,47.535248,48.021633,55.956078,124.12021,115.24358,73.109276,-26.094296,-55.03454,-133.11778,-82.56664
EB2,46.67905,214.31183,-190.1097,-94.7869,353.81955,97.50216,-230.86633,25.874939,-79.04723,-397.52798,165.74246,-180.84804,336.87445,328.24554,-47.01769,-331.78387,-504.55307,113.94965,-245.34721,-22.729456,413.28323,382.4118,-153.76546,-272.59464,-92.22955,-244.51462,-239.15965,246.79529,342.97327,46.02281,20.501518,321.3807,329.91263,-188.94487,-92.66756,-295.69885,-361.45316
Panc 04.03,-18.36151,99.99166,126.57711,-47.223366,59.94255,24.079084,-117.245804,-148.2107,150.61505,-85.765335,-211.38977,-37.03557,13.128165,128.8336,114.69406,-122.77365,18.06991,60.614212,82.490036,-176.32964,31.114513,146.18477,-60.066216,-66.46841,-152.97488,-81.692345,-101.810135,153.64478,143.82874,115.248375,-19.076994,-47.10628,11.336216,-102.65797,-77.52541,-20.53678,14.242702
HT-1376,-18.69971,92.51751,102.653946,-38.9532,21.11998,-6.380629,-95.15814,-142.87306,109.43197,-78.1611,-213.25252,-40.82849,1.8063745,111.48056,105.321205,-82.446465,21.814592,53.678703,64.61892,-155.9998,-2.450539,136.80716,-52.474304,-57.602154,-122.47645,-63.268127,-88.41601,159.76581,108.61986,76.87989,-21.867601,-47.299923,2.9457638,-72.93609,-62.288235,-1.9752265,13.164857
59M,58.402054,132.2226,112.89697,-18.37809,112.499535,95.31223,-134.1115,-28.035383,30.22036,-97.1197,-14.54477,-29.947275,47.564533,89.27719,118.66499,-115.366936,47.199093,49.489006,-27.43419,-159.64587,86.320526,10.449356,-26.079554,-24.691217,-95.692215,-111.42358,-116.233215,61.363438,35.01878,13.386557,31.921991,-39.642315,-9.074284,-141.26709,-166.47057,-131.11122,-62.03998
