feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0008985074911287061,True
AATK,,,,0.017570464625706255,False
ABCA3,,,,0.005026113227842825,True
ABCC3,,,,0.009396239320395702,True
ABCC4,,,,0.0024357083460465863,True
ABI1,,,,0.027497646491154996,False
ABL1,,,,0.01656985523818394,False
ABL2,,,,0.010213374071602506,True
ACACA,,,,0.005199937708823321,True
ACACB,,,,0.0011198399519542638,True
ACOXL,,,,0.009606160911074444,True
ACSL6,,,,0.01901486711493909,False
ACVR1,,,,0.02846835634385485,False
ACVR1B,,,,0.013046789010330694,False
ACVR1C,,,,0.029284477742015085,False
ACVR2A,,,,0.01562867209185476,False
ACVR2B,,,,0.020144195511729503,False
ACVRL1,,,,0.011259306010481824,False
ADAM10,,,,0.0186939215998816,False
ADAM12,,,,0.0022611603420746515,True
ADAM17,,,,0.019490931204978402,False
ADAM18,,,,0.02038599917283795,False
ADAM22,,,,0.026272241304036454,False
ADAM28,,,,0.013383570260899291,False
ADAM29,,,,0.008680987993710566,True
ADAM32,,,,0.024718348084927094,False
ADAMTS18,,,,0.0002915588341435782,True
ADAMTS19,,,,0.01003017624738467,True
ADAMTS2,,,,0.009856630886955873,True
ADAMTS20,,,,0.00818290740900988,True
ADAMTSL3,,,,0.0015534629196005433,True
ADARB2,,,,0.03690388803902901,False
ADCK1,,,,0.02793322733798833,False
ADCK2,,,,0.036720430847334,False
ADCK4,,,,0.004989900106792648,True
ADCK5,,,,0.01577437617908841,False
ADHFE1,,,,0.024487504384984,False
ADK,,,,0.02524997675809979,False
ADRBK1,,,,0.012151743973389733,False
ADRBK2,,,,0.022925251121199256,False
AFF1,,,,0.02510574488000892,False
AFF3,,,,0.0032550774723348564,True
AFF4,,,,0.008802162251495754,True
AGAP2,,,,0.013724702801337823,False
AIFM1,,,,0.036455457157435735,False
AIFM3,,,,0.038555309160102524,False
AIM1,,,,0.014017096619791176,False
AKAP12,,,,-0.00822546827083329,True
AKAP4,,,,0.02319081765491078,False
AKAP6,,,,-0.000500647318931664,True
AKAP9,,,,0.007875604237654892,True
AKT1,,,,0.01602213070227687,False
AKT2,1.0,,False,0.031392214381939496,False
AKT3,,,,0.0337059400124404,False
ALDH7A1,,,,0.03611272909128506,False
ALK,0.0,0.0042312608436076305,True,0.02065947057032335,False
ALPK1,,,,0.019171459129294438,False
ALPK2,,,,0.01139113905165434,False
ALPK3,,,,0.024323936596134212,False
ALS2,,,,0.0018321911547174278,True
AMHR2,,,,0.0014289274662621211,True
AMZ2,,,,0.04769375143854428,False
ANAPC5,,,,0.010272605445507956,True
ANGPTL4,,,,0.020382734830829217,False
ANKK1,,,,0.017701768537677715,False
APAF1,,,,0.0351035141469249,False
APBB1IP,,,,0.020065289485439907,False
APC,0.0,0.04584266601488154,True,0.003548213422963327,True
AR,,,,0.010652693310729159,True
ARAF,,,,0.016458076786177295,False
ARFGEF1,,,,0.01908261969469817,False
ARHGAP26,,,,0.00879590354246604,True
ARHGAP29,,,,0.018526804169811437,False
ARHGDIB,,,,0.03126468114445135,False
ARHGEF10,,,,0.00506081480478227,True
ARHGEF12,,,,0.0119759629835064,False
ARHGEF7,,,,0.022377728191018468,False
ARID1A,,,,0.005699715438775843,True
ARNT,,,,0.018635748314628445,False
ASH2L,,,,0.043885618216009566,False
ASPH,,,,0.013969691197182348,False
ASPSCR1,,,,0.013998734810742645,False
ASTN1,,,,0.013195727844812198,False
ATF1,,,,0.033653179234325155,False
ATF2,,,,0.011841695788174985,False
ATIC,,,,0.021931734342348356,False
ATM,,,,0.0038478695571204768,True
ATP10A,,,,0.009393601869236939,True
ATP11A,,,,0.017680925055164085,False
ATP13A5,,,,0.013387861095228132,False
ATP5S,,,,4.020192346752615e-06,True
ATP8B1,,,,0.013381491073701058,False
ATR,,,,0.00907631034590686,True
ATRX,,,,0.01385867864308371,False
AURKA,,,,0.0009652698549524265,True
AURKB,,,,0.03711065448335275,False
AURKC,,,,0.039300855009324814,False
AXIN1,,,,0.03221577798969028,False
AXIN2,,,,0.02173900581704732,False
AXL,,,,0.00962795457453612,True
B3GALT6,,,,0.029074105775508736,False
BAD,,,,0.06699571153318597,False
BAG4,,,,0.015342842442499794,False
BAI1,,,,0.013473759689646831,False
BAI3,,,,0.01168992858859837,False
BAK1,,,,0.00027530395958306846,True
BAP1,,,,0.01594440264710394,False
BAT3,,,,0.014927152128322798,False
BAX,,,,0.023630478888344224,False
BCAR1,,,,0.04393768200846802,False
BCKDK,,,,0.027330002419214794,False
BCL10,,,,0.029476366350634973,False
BCL11A,,,,0.007366820180775474,True
BCL11B,,,,0.008584508199912192,True
BCL2,,,,2.0719922585043846e-05,True
BCL2A1,,,,0.10041448949023163,False
BCL2L1,,,,0.04036064436958112,False
BCL2L11,,,,0.0371842719749202,False
BCL2L2,,,,4.020192346752612e-06,True
BCL3,,,,0.03143297341228104,False
BCL6,,,,0.012823461730259424,False
BCL7A,,,,8.633486799696248e-06,True
BCL9,,,,0.012906514905488982,False
BCR,,,,0.02005039741934394,False
BGLAP,,,,4.020192346752617e-06,True
BID,,,,0.00026968469346635375,True
BIK,,,,0.028639465913656004,False
BIRC2,,,,0.01446112781817671,False
BIRC3,,,,0.02203776256532907,False
BIRC5,,,,0.04061669383998927,False
BIRC6,,,,0.016173722418039,False
BLK,,,,0.020200874560880093,False
