feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.001810415780868731,True
AATK,,,,0.017552561958314134,False
ABCA3,,,,0.007808648764313213,True
ABCC3,,,,0.009294869551490649,True
ABCC4,,,,0.0024446286106593047,True
ABI1,,,,0.028939437969295545,False
ABL1,,,,0.010436028572868216,True
ABL2,,,,0.015064568558441504,False
ACACA,,,,0.000290130433924198,True
ACACB,,,,0.0008614089059426143,True
ACOXL,,,,0.009622602790725219,True
ACSL6,,,,0.011242480540637874,True
ACVR1,,,,0.028529126103783525,False
ACVR1B,,,,0.0125525898334751,False
ACVR1C,,,,0.0292541650208214,False
ACVR2A,,,,0.0155259531104181,False
ACVR2B,,,,0.04045305128943349,False
ACVRL1,,,,0.011236530265850699,True
ADAM10,,,,0.027189041035035985,False
ADAM12,,,,0.0023235111977269033,True
ADAM17,,,,0.019461563285671963,False
ADAM18,,,,0.018952713012918735,False
ADAM22,,,,0.02132635457973077,False
ADAM28,,,,0.014311832225257058,False
ADAM29,,,,0.013341789421968333,False
ADAM32,,,,0.02295089451970948,False
ADAMTS18,,,,9.437063045355478e-05,True
ADAMTS19,,,,0.009287026115757017,True
ADAMTS2,,,,0.013847503303266132,False
ADAMTS20,,,,0.008926679920169704,True
ADAMTSL3,,,,0.0011085234431328455,True
ADARB2,,,,0.036871114800063325,False
ADCK1,,,,0.027901679317793825,False
ADCK2,,,,0.03671455900215492,False
ADCK4,,,,0.004955788655380601,True
ADCK5,,,,0.015778654522887885,False
ADHFE1,,,,0.024529898704373235,False
ADK,,,,0.051408991903940264,False
ADRBK1,,,,0.012131605750771221,True
ADRBK2,,,,0.022858946888619523,False
AFF1,,,,0.025150167919637093,False
AFF3,,,,0.004190087462650927,True
AFF4,,,,0.008792187681616258,True
AGAP2,,,,0.013809279155095203,False
AIFM1,,,,0.043565473463436824,False
AIFM3,,,,0.04606011286809616,False
AIM1,,,,0.022164617937328927,False
AKAP12,,,,-0.006138241158508223,True
AKAP4,,,,0.024708164217793857,False
AKAP6,,,,3.0183919427012314e-05,True
AKAP9,,,,0.008530020213640424,True
AKT1,,,,0.014885761943240148,False
AKT2,1.0,,False,0.03138119040217058,False
AKT3,,,,0.032837809700116426,False
ALDH7A1,,,,0.04092434949638047,False
ALK,0.0,0.0042312608436076305,True,0.014835608026348247,False
ALPK1,,,,0.023358742844597543,False
ALPK2,,,,0.011518853712987834,True
ALPK3,,,,0.033510198416894066,False
ALS2,,,,0.0019500686580647716,True
AMHR2,,,,0.009905269622567056,True
AMZ2,,,,0.04767779146937568,False
ANAPC5,,,,0.02414970290176931,False
ANGPTL4,,,,0.020377846279687143,False
ANKK1,,,,0.025254510128325965,False
APAF1,,,,0.03415820101472963,False
APBB1IP,,,,0.027487345604973696,False
APC,0.0,0.04584266601488154,True,0.0034255163612077954,True
AR,,,,0.016589167005289215,False
ARAF,,,,0.016430109059651407,False
ARFGEF1,,,,0.01839863245738288,False
ARHGAP26,,,,0.013170139499899255,False
ARHGAP29,,,,0.02826168870431781,False
ARHGDIB,,,,0.04461812730422957,False
ARHGEF10,,,,0.0051042681434763605,True
ARHGEF12,,,,0.012086732687834233,True
ARHGEF7,,,,0.03199344372082174,False
ARID1A,,,,0.008878989007932443,True
ARNT,,,,0.01864592633067664,False
ASH2L,,,,0.043862106496403964,False
ASPH,,,,0.013548838889500855,False
ASPSCR1,,,,0.01397278169428848,False
ASTN1,,,,0.015972734012972056,False
ATF1,,,,0.046684965754692796,False
ATF2,,,,0.011808424291148999,True
ATIC,,,,0.011311939376746523,True
ATM,,,,0.005905658321721913,True
ATP10A,,,,0.011535096291140771,True
ATP11A,,,,0.01749641175006413,False
ATP13A5,,,,0.010847080123476863,True
ATP5S,,,,4.220895706611834e-06,True
ATP8B1,,,,0.021917243792781774,False
ATR,,,,0.007010928634374524,True
ATRX,,,,0.012610610814023081,False
AURKA,,,,0.012783892613680922,False
AURKB,,,,0.03708105769203175,False
AURKC,,,,0.05830398614173258,False
AXIN1,,,,0.023681045381203764,False
AXIN2,,,,0.021704211852165374,False
AXL,,,,0.021644125231971983,False
B3GALT6,,,,0.029065405725240537,False
BAD,,,,0.06698080827516652,False
BAG4,,,,0.015339203053628705,False
BAI1,,,,0.023044864246603094,False
BAI3,,,,0.01394337217482419,False
BAK1,,,,0.00025974659603622416,True
BAP1,,,,0.015568610747566233,False
BAT3,,,,0.014907867616531904,False
BAX,,,,0.017434707217982955,False
BCAR1,,,,0.04398119623232166,False
BCKDK,,,,0.025858522116094476,False
BCL10,,,,0.029495777126492394,False
BCL11A,,,,0.0073499760353849955,True
BCL11B,,,,0.0163048026856096,False
BCL2,,,,2.1267524411813092e-05,True
BCL2A1,,,,0.10038406829755024,False
BCL2L1,,,,0.026962323170182146,False
BCL2L11,,,,0.0372063466948709,False
BCL2L2,,,,4.2208957066118365e-06,True
BCL3,,,,0.031474787826621255,False
BCL6,,,,0.012787102023181045,False
BCL7A,,,,8.520262577328839e-06,True
BCL9,,,,0.012852228409636228,False
BCR,,,,0.024452158348435598,False
BGLAP,,,,4.234533307075014e-06,True
BID,,,,0.00026573156398310816,True
BIK,,,,0.028637488033310034,False
BIRC2,,,,0.012356031468649581,False
BIRC3,,,,0.03106867585989679,False
BIRC5,,,,0.04058193616115427,False
BIRC6,,,,0.017525681567609523,False
BLK,,,,0.028657408874493702,False
BLM,,,,0.008632579873633348,True
BLNK,,,,0.03716455036873743,False
BMF,,,,0.0450712072539806,False
BMI1,,,,0.03158544574427258,False
BMP2K,,,,0.024418617270830285,False
BMP4,,,,0.03938749298673149,False
BMPR1A,,,,0.005962426267194112,True
BMPR1B,,,,0.029776462414940648,False
BMPR2,,,,0.012870430074582374,False
BMX,,,,0.0009572482865070925,True
BNIP3,,,,0.08647445170722391,False
BOK,,,,4.234533307075014e-06,True
BRAF,0.0,0.0801174815984229,True,0.005145844068453724,True
BRCA1,0.0,0.0028248474382039576,True,0.018336417159218413,False
BRCA2,0.0,0.008426459805025422,True,0.007384936549278977,True
BRCC3,,,,0.04042113180657213,False
BRD2,,,,0.016110611498725804,False
BRD3,,,,0.025013884341777877,False
BRD4,,,,0.02799821160545549,False
BRDT,,,,0.023389263022670737,False
BRF2,,,,0.15045580262818442,False
BRIP1,,,,0.004561215602019737,True
BRSK1,,,,0.028495090368122096,False
BRSK2,,,,0.0353655905990005,False
BTG1,,,,0.03358431999305712,False
BTK,,,,0.02638151614443226,False
BTRC,,,,0.03168834924167611,False
BUB1,,,,0.030209014260803142,False
BUB1B,,,,0.017977625981162575,False
C15orf2,,,,0.009106802228529673,True
C15orf55,,,,0.015622357955657697,False
C17orf37,,,,0.1002045239018322,False
C6orf97,,,,0.031211694966444187,False
C9orf96,,,,0.026930283845840206,False
CABC1,,,,0.018924056811501017,False
CACNA1F,,,,0.0177175515580402,False
CACNB2,,,,0.017145420200065927,False
CAD,,,,0.015338016041581207,False
CAMK1,,,,0.016207579819601643,False
CAMK1D,,,,0.04369773259960304,False
CAMK1G,,,,0.0005645589593880443,True
CAMK2A,,,,0.0003430556705698552,True
CAMK2B,,,,0.04063754825103139,False
CAMK2D,,,,0.040461973959331,False
CAMK2G,,,,0.0006787794932214821,True
CAMK4,,,,0.02150941021060235,False
CAMKK1,,,,0.05787495346210509,False
CAMKK2,,,,0.03631324871036193,False
CAMKV,,,,0.01509073836643385,False
CARD10,,,,0.009754349449323942,True
