sample_id,variable,class_label,probability,known_label,predicted_label,split
YH-13,Erlotinib,,,,0.06202666833996773,train
SNU-119,Erlotinib,,,,0.07623697817325592,train
DM-3,Erlotinib,,,,0.06983651220798492,train
KYSE-410,Erlotinib,,,0.0661153584914752,0.05760274827480316,train
BL-70,Erlotinib,,,0.0071939968305693,0.0834488719701767,train
QGP-1,Erlotinib,,,0.0604716766752486,0.04188760742545128,train
SW1463,Erlotinib,,,,0.06173892691731453,train
A2780,Erlotinib,,,0.0182631271735792,0.0425911545753479,train
TE-14,Erlotinib,,,,0.07575542479753494,train
TE 159.T,Erlotinib,,,,0.08410611003637314,train
EFM-19,Erlotinib,,,0.0049819041613393,0.04256100580096245,train
HCC1395,Erlotinib,,,0.042956770513969,0.07575542479753494,train
HT-1197,Erlotinib,,,0.0581736015518673,0.06202666833996773,train
UM-UC-3,Erlotinib,,,0.0,0.05319540575146675,train
EFE-184,Erlotinib,,,0.103552446743147,0.0831984281539917,train
COLO 829,Erlotinib,,,,0.05168682336807251,train
MFE-296,Erlotinib,,,0.105789474600448,0.063027024269104,train
NCI-H1373,Erlotinib,,,0.0471664690357,0.04425916448235512,train
KYSE-30,Erlotinib,,,0.107401668997436,0.08262088149785995,train
NCI-H2347,Erlotinib,,,,0.04356779903173447,train
SK-UT-1,Erlotinib,,,,0.06313887983560562,train
NCI-H526,Erlotinib,,,,0.0831984281539917,train
SBC-5,Erlotinib,,,0.0039550034889971,0.07799069583415985,train
DLD-1,Erlotinib,,,,0.03400925546884537,train
HEC-151,Erlotinib,,,0.243795907921615,0.06476670503616333,train
PaTu 8988s,Erlotinib,,,,0.05319540575146675,train
A-253,Erlotinib,,,0.111939413475256,0.04859347268939018,train
KYSE-140,Erlotinib,,,0.290069558925785,0.07799069583415985,train
TYK-nu,Erlotinib,,,7.598553230877321e-15,0.07623697817325592,train
KNS-60,Erlotinib,,,0.0080715130241218,0.07936589419841766,train
COV504,Erlotinib,,,0.0711984611306931,0.07936589419841766,train
SNU-C4,Erlotinib,,,,0.06197948008775711,train
VMRC-LCD,Erlotinib,,,9.30474122692297e-16,0.07936589419841766,train
SK-MEL-1,Erlotinib,,,,0.05387134477496147,train
WM793,Erlotinib,,,0.0280512493673766,0.036179158836603165,train
NCI-H2110,Erlotinib,,,,0.08326289802789688,train
NCI-H2227,Erlotinib,,,,0.05091080442070961,train
Karpas-299,Erlotinib,,,0.0265723504029587,0.07936589419841766,train
EJM,Erlotinib,,,,0.07772496342658997,train
CAL-120,Erlotinib,,,,0.08383385837078094,train
SNU-81,Erlotinib,,,,0.04928307235240936,train
KYSE-180,Erlotinib,,,0.202348591328392,0.08410611003637314,train
CGTH-W-1,Erlotinib,,,,0.07936589419841766,train
MDA-MB-361,Erlotinib,,,,0.04646908491849899,train
NCI-H1436,Erlotinib,,,,0.08326289802789688,train
KOPN-8,Erlotinib,,,,0.053299177438020706,train
NCI-H1915,Erlotinib,,,0.0466802928699457,0.07936589419841766,train
YD-10B,Erlotinib,,,,0.06227806583046913,train
TE-4,Erlotinib,,,,0.04990129917860031,train
BDCM,Erlotinib,,,0.0132267808987782,0.08410611003637314,train
JK-1,Erlotinib,,,,0.08410611003637314,train
NCI-H1836,Erlotinib,,,,0.08383385837078094,train
OVISE,Erlotinib,,,,0.06317494809627533,train
SU-DHL-5,Erlotinib,,,,0.018266763538122177,train
THP-1,Erlotinib,,,,0.07936589419841766,train
EoL-1,Erlotinib,,,,0.08410611003637314,train
COV434,Erlotinib,,,,0.08410611003637314,train
HN,Erlotinib,,,,0.07936589419841766,train
WM983B,Erlotinib,,,0.0124614675203545,0.059767965227365494,train
RT-4,Erlotinib,,,0.16739683663155,0.08410611003637314,train
BCP-1,Erlotinib,,,,0.07936589419841766,train
NCI-H889,Erlotinib,,,,0.07936589419841766,train
KCI-MOH1,Erlotinib,,,0.163729617773422,0.05319540575146675,train
TUHR14TKB,Erlotinib,,,,0.08410611003637314,train
ZR-75-30,Erlotinib,,,0.0,0.07448186725378036,train
Daudi,Erlotinib,,,,0.08235514909029007,train
MV4-11,Erlotinib,,,,0.08410611003637314,train
DAN-G,Erlotinib,,,,0.05319540575146675,train
NCI-H2023,Erlotinib,,,0.0196922070680006,0.08262088149785995,train
SCC-9,Erlotinib,,,0.209352556276592,0.0578247532248497,train
HCC364,Erlotinib,,,,0.07936589419841766,train
SF767,Erlotinib,,,,0.07936589419841766,train
NCI-H2342,Erlotinib,,,,0.06868750602006912,train
TGBC11TKB,Erlotinib,,,,0.03898799046874046,train
SK-ES-1,Erlotinib,,,0.0683218629110332,0.08383385837078094,train
RT-112,Erlotinib,,,0.0563652566288176,0.05662933737039566,train
COV644,Erlotinib,,,,0.08410611003637314,train
Panc 04.03,Erlotinib,,,0.111468825066676,0.053131479769945145,train
TALL-1 [Human adult T-ALL],Erlotinib,,,,0.07936589419841766,train
KYSE-520,Erlotinib,,,0.185508738558247,0.07936589419841766,train
HCC1833,Erlotinib,,,,0.05961766093969345,train
KPL-1,Erlotinib,,,,0.06202666833996773,train
KNS-42,Erlotinib,,,0.0,0.07799069583415985,train
JHUEM-2,Erlotinib,,,0.0258694737726735,0.059423934668302536,train
UM-RC-6,Erlotinib,,,,0.07936589419841766,train
NCI-H2172,Erlotinib,,,,0.09098594635725021,train
Hs 274.T,Erlotinib,,,,0.05319540575146675,train
Ki-JK,Erlotinib,,,,0.08410611003637314,train
Hs 675.T,Erlotinib,,,,0.0794607624411583,train
KP-2,Erlotinib,,,0.0396461943962427,0.053299177438020706,train
SLR21,Erlotinib,,,,0.07936589419841766,train
MOLP-8,Erlotinib,,,0.0087589415680787,0.014673758298158646,train
HCC1187,Erlotinib,,,0.0466619416920787,0.08410611003637314,train
Hs 229.T,Erlotinib,,,0.0,0.08410611003637314,train
Hep-G2,Erlotinib,,,0.028461952671853,0.08410611003637314,train
NCI-H2405,Erlotinib,,,,0.07936589419841766,train
P31/FUJ,Erlotinib,,,0.010075471775247,0.04859347268939018,train
NCI-H841,Erlotinib,,,,0.07799069583415985,train
SLR23,Erlotinib,,,,0.07936589419841766,train
T3M-4,Erlotinib,,,,0.053299177438020706,train
CAL-12T,Erlotinib,,,0.282588685784174,0.05590636655688286,train
JM-1,Erlotinib,,,0.0363750000000003,0.08410611003637314,train
SNU-1076,Erlotinib,,,,0.06202666833996773,train
HuT 78,Erlotinib,,,0.0,0.07936589419841766,train
KS-1 [Human glioblastoma],Erlotinib,,,,0.0578247532248497,train
OVMANA,Erlotinib,,,0.0221955939297399,0.05745059251785278,train
COLO 678,Erlotinib,,,0.157057444982617,0.05319540575146675,train
RERF-LC-MS,Erlotinib,,,0.0,0.07936589419841766,train
U-87MG ATCC,Erlotinib,,,0.0,0.03789104148745537,train
Panc 10.05,Erlotinib,,,0.0565475629518381,0.047664936631917953,train
Hs 766T,Erlotinib,,,0.0991126936068783,0.05319540575146675,train
Hep-G2/C3A,Erlotinib,,,0.0202058023583914,0.08410611003637314,train
K-562,Erlotinib,,,,0.07936589419841766,train
MKN1,Erlotinib,,,,0.04169977083802223,train
SNU-738,Erlotinib,,,,0.07799069583415985,train
BT-474,Erlotinib,,,0.0537926082643491,0.0352448932826519,train
JVM-3,Erlotinib,,,0.112902060411961,0.051496244966983795,train
OCI-Ly19,Erlotinib,,,,0.08410611003637314,train
AZ-521,Erlotinib,,,0.145596979444519,0.08410611003637314,train
HT-29,Erlotinib,,,0.0008752056595092,0.039391759783029556,train
SW948,Erlotinib,,,,0.03338872268795967,train
HLE,Erlotinib,,,0.0274767936306091,0.07936589419841766,train
OE21,Erlotinib,,,0.343713423223186,0.08410611003637314,train
Pfeiffer,Erlotinib,,,0.128442704007119,0.0794607624411583,train
CAL-51,Erlotinib,,,,0.015246782451868057,train
Hs 606.T,Erlotinib,,,,0.07936589419841766,train
HCC-56,Erlotinib,,,0.0570985978077439,0.05612668767571449,train
SJSA-1,Erlotinib,,,0.0369315976788424,0.08410611003637314,train
Hs 819.T,Erlotinib,,,,0.08410611003637314,train
RCM-1 [Human rectum adenocarcinoma],Erlotinib,,,,0.06173892691731453,train
HCC1806,Erlotinib,,,0.202094054607404,0.08410611003637314,train
GDM-1,Erlotinib,,,,0.08410611003637314,train
GP2d,Erlotinib,,,,0.03832477331161499,train
HCC1569,Erlotinib,,,0.0068813097414282,0.04990129917860031,train
HCC1937,Erlotinib,,,,0.07936589419841766,train
HEL 92.1.7,Erlotinib,,,0.0177813221317003,0.08383385837078094,train
NCI-H2141,Erlotinib,,,,0.07936589419841766,train
MHH-NB-11,Erlotinib,,,,0.08410611003637314,train
PE/CA-PJ49,Erlotinib,,,,0.08410611003637314,train
HT-1080,Erlotinib,,,0.0153929865687471,0.07448186725378036,train
SNU-324,Erlotinib,,,,0.07448186725378036,train
SK-N-SH,Erlotinib,,,0.0330358225676597,0.08337495476007462,train
NCI-N87,Erlotinib,,,0.0916116474473374,0.07623697817325592,train
AU565,Erlotinib,,,0.0466214596035104,0.07936589419841766,train
LC-1/sq-SF,Erlotinib,,,0.115469678393687,0.0834488719701767,train
GMS-10,Erlotinib,,,0.0190540934281724,0.04859347268939018,train
LN-382,Erlotinib,,,,0.07936589419841766,train
RPMI-7951,Erlotinib,,,0.0109625104648995,0.05091080442070961,train
NCI-H596,Erlotinib,,,,0.04256100580096245,train
CML-T1,Erlotinib,,,,0.04814614728093147,train
DU145,Erlotinib,,,0.135598200817881,0.07194624841213226,train
OVTOKO,Erlotinib,,,0.105820028525121,0.08410611003637314,train
NCI-H1581,Erlotinib,,,0.0,0.08383385837078094,train
RVH-421,Erlotinib,,,0.0070321023866841,0.051496244966983795,train
786-O,Erlotinib,,,0.0173998808952982,0.04859347268939018,train
SCC-25,Erlotinib,,,,0.07936589419841766,train
UM-UC-1,Erlotinib,,,,0.07936589419841766,train
CMK-11-5,Erlotinib,,,,0.07575542479753494,train
Hs 940.T,Erlotinib,,,,0.08410611003637314,train
Raji,Erlotinib,,,0.0,0.07936589419841766,train
U-118MG,Erlotinib,,,0.0070533201869107,0.07936589419841766,train
CPC-N,Erlotinib,,,,0.07936589419841766,train
KYO-1,Erlotinib,,,,0.07936589419841766,train
HLF-a,Erlotinib,,,,0.08410611003637314,train
NCI-H1651,Erlotinib,,,0.0427770897570794,0.05091080442070961,train
Hs 600.T,Erlotinib,,,,0.08410611003637314,train
MOLT-16,Erlotinib,,,0.0455364466552918,0.04256100580096245,train
JHUEM-3,Erlotinib,,,,0.07936589419841766,train
COLO 800,Erlotinib,,,,0.051496244966983795,train
A-1207,Erlotinib,,,,0.07936589419841766,train
MDA-MB-134-VI,Erlotinib,,,,0.08410611003637314,train
PrEC LH,Erlotinib,,,,0.07936589419841766,train
SNU-899,Erlotinib,,,,0.08410611003637314,train
NMC-G1,Erlotinib,,,,0.051496244966983795,train
JHH-7,Erlotinib,,,0.064003193556415,0.07575542479753494,train
EHEB,Erlotinib,,,,0.08410611003637314,train
IOMM-Lee,Erlotinib,,,,0.07936589419841766,train
LoVo,Erlotinib,,,,0.04035244882106781,train
SW480,Erlotinib,,,0.020401477901209,0.053131479769945145,train
NCI-H2081,Erlotinib,,,,0.014673758298158646,train
SK-HEP-1,Erlotinib,,,0.0225654593824648,0.055841200053691864,train
HCC1438,Erlotinib,,,,0.05662933737039566,train
HCC1954,Erlotinib,,,0.10922294838185,0.05529864877462387,train
HARA [Human squamous cell lung carcinoma],Erlotinib,,,0.1139355773964,0.07936589419841766,train
