target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,CEMIP,0.0002012290387918992,IntegratedGradients
Erlotinib,0,,rna,ITGA2,0.00017779171813788152,IntegratedGradients
Erlotinib,0,,rna,ESRP1,0.0005215273566427629,IntegratedGradients
Erlotinib,0,,rna,GNG12,7.727167772461834e-05,IntegratedGradients
Erlotinib,0,,rna,MYO1F,0.0002575480816527868,IntegratedGradients
Erlotinib,0,,rna,CD9,0.00013360862265473494,IntegratedGradients
Erlotinib,0,,rna,ZNF165,0.00029310531949219734,IntegratedGradients
Erlotinib,0,,rna,TCF4,0.00020355135355731535,IntegratedGradients
Erlotinib,0,,rna,WAS,0.0002045813100018173,IntegratedGradients
Erlotinib,0,,rna,BCL2A1,5.826870571608419e-05,IntegratedGradients
Erlotinib,0,,rna,RBPMS,0.000509677600076549,IntegratedGradients
Erlotinib,0,,rna,TUFT1,0.00020306497261878177,IntegratedGradients
Erlotinib,0,,rna,DKK1,0.0005720392173139462,IntegratedGradients
Erlotinib,0,,rna,WSB2,0.00020912942719433645,IntegratedGradients
Erlotinib,0,,rna,THY1,0.00031343963936617236,IntegratedGradients
Erlotinib,0,,rna,CD247,0.00017604316792577758,IntegratedGradients
Erlotinib,0,,rna,MFSD12,0.00015869646818924448,IntegratedGradients
Erlotinib,0,,rna,PLOD1,0.0004928030986386785,IntegratedGradients
Erlotinib,0,,rna,SERPINB5,0.0004587034584993262,IntegratedGradients
Erlotinib,0,,rna,MMP2,0.0006663404975245719,IntegratedGradients
Erlotinib,0,,rna,TGFBR2,0.00014511808032716266,IntegratedGradients
Erlotinib,0,,rna,CD180,0.00027825627539062144,IntegratedGradients
Erlotinib,0,,rna,CDK5R2,0.0001695811414442574,IntegratedGradients
Erlotinib,0,,rna,VNN2,0.00010572217637648837,IntegratedGradients
Erlotinib,0,,rna,GATA1,0.00016717692092215041,IntegratedGradients
Erlotinib,0,,rna,ZNF185,0.0002623575021394064,IntegratedGradients
Erlotinib,0,,rna,MCC,0.0002895447491701337,IntegratedGradients
Erlotinib,0,,rna,BICC1,0.0004793911092195518,IntegratedGradients
Erlotinib,0,,rna,HGD,0.0002026777204051761,IntegratedGradients
Erlotinib,0,,rna,COL16A1,0.0002783180693089668,IntegratedGradients
Erlotinib,0,,rna,GPSM3,0.00020258327824962288,IntegratedGradients
Erlotinib,0,,rna,PTEN,4.7164628851458385e-05,IntegratedGradients
Erlotinib,0,,rna,KIAA1324,0.0005127156511369462,IntegratedGradients
Erlotinib,0,,rna,TLX2,0.00011618961019063138,IntegratedGradients
