feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
AAK1,,,,0.0025968875249372716,True
AATK,,,,0.017578853789542926,False
ABCA3,,,,0.005089223633341695,True
ABCC3,,,,0.009396961736778247,True
ABCC4,,,,0.00245771531220592,True
ABI1,,,,0.02748505919228154,False
ABL1,,,,0.010456023806555624,True
ABL2,,,,0.0102163634393571,True
ACACA,,,,0.005238972511786957,True
ACACB,,,,0.0011758105999041702,True
ACOXL,,,,0.009624219210639934,True
ACSL6,,,,0.011296497912119693,False
ACVR1,,,,0.028440718977835407,False
ACVR1B,,,,0.013033242160744554,False
ACVR1C,,,,0.029284144632939803,False
ACVR2A,,,,0.015677300920263537,False
ACVR2B,,,,0.02015845844103556,False
ACVRL1,,,,0.01128658857015491,False
ADAM10,,,,0.01869454731227732,False
ADAM12,,,,0.0022657885480728045,True
ADAM17,,,,0.019495509810992743,False
ADAM18,,,,0.02041654209297726,False
ADAM22,,,,0.026308047443629592,False
ADAM28,,,,0.013440686159216347,False
ADAM29,,,,0.008802382094963406,True
ADAM32,,,,0.02469252544566389,False
ADAMTS18,,,,0.0009043132613851884,True
ADAMTS19,,,,0.010072584881317357,True
ADAMTS2,,,,0.009869513746832644,True
ADAMTS20,,,,0.008202039616095537,True
ADAMTSL3,,,,0.001586400233981777,True
ADARB2,,,,0.03690206089905521,False
ADCK1,,,,0.022492296605486586,False
ADCK2,,,,0.03671978033301282,False
ADCK4,,,,0.00499308598073573,True
ADCK5,,,,0.01578711657699891,False
ADHFE1,,,,0.024557607524682324,False
ADK,,,,0.02524962611609275,False
ADRBK1,,,,0.012147651322680083,False
ADRBK2,,,,0.02290934851561456,False
AFF1,,,,0.02517224968938984,False
AFF3,,,,0.007107426477652313,True
AFF4,,,,0.008836970843430509,True
AGAP2,,,,0.013727216083225732,False
AIFM1,,,,0.036367459848367846,False
AIFM3,,,,0.04610825420307733,False
AIM1,,,,0.014075897108667,False
AKAP12,,,,-0.006809359784142057,True
AKAP4,,,,0.023248849127194486,False
AKAP6,,,,0.0020197457607962184,True
AKAP9,,,,0.00776975723121698,True
AKT1,,,,0.015992497385294166,False
AKT2,1.0,,False,0.015938737669092685,False
AKT3,,,,0.03371222828936204,False
ALDH7A1,,,,0.03611151055835128,False
ALK,0.0,0.0042312608436076305,True,0.014167392802860302,False
ALPK1,,,,0.01917368238191883,False
ALPK2,,,,0.011753712105785692,False
ALPK3,,,,0.02432104917477726,False
ALS2,,,,0.001830192246133738,True
AMHR2,,,,0.004858454750410636,True
AMZ2,,,,0.04769420424688077,False
ANAPC5,,,,0.010271724365519954,True
ANGPTL4,,,,0.020383962119247482,False
ANKK1,,,,0.01769040384215853,False
APAF1,,,,0.028354205792949103,False
APBB1IP,,,,0.020079334878937136,False
APC,0.0,0.04584266601488154,True,0.0050937430673348,True
AR,,,,0.010694404160461083,True
ARAF,,,,0.016487267627762498,False
ARFGEF1,,,,0.01908414257929609,False
ARHGAP26,,,,0.008810460740510331,True
ARHGAP29,,,,0.018528165539955673,False
ARHGDIB,,,,0.03126395063063563,False
ARHGEF10,,,,0.0050969232397176205,True
ARHGEF12,,,,0.012025546348179372,False
ARHGEF7,,,,0.022383412155241825,False
ARID1A,,,,0.007394033359248519,True
ARNT,,,,0.020656292984318467,False
ASH2L,,,,0.04388571048937534,False
ASPH,,,,0.013412936744806264,False
ASPSCR1,,,,0.01399443312579444,False
ASTN1,,,,0.010569970158753519,True
ATF1,,,,0.033652500928907744,False
ATF2,,,,0.0118413413531955,False
ATIC,,,,0.021909924811499882,False
ATM,,,,0.003881580008308721,True
ATP10A,,,,0.010650406420825919,True
ATP11A,,,,0.013881939801571746,False
ATP13A5,,,,0.010219878356179978,True
ATP5S,,,,4.318494244176358e-06,True
ATP8B1,,,,0.013382239709470379,False
ATR,,,,0.011099625532227637,False
ATRX,,,,0.013868736554162908,False
AURKA,,,,0.0009708890118926434,True
AURKB,,,,0.03711855474611262,False
AURKC,,,,0.03933347654055114,False
AXIN1,,,,0.0322125301904892,False
AXIN2,,,,0.021739877181996287,False
AXL,,,,0.009647121329214432,True
B3GALT6,,,,0.029075558485265343,False
BAD,,,,0.06699339885458697,False
BAG4,,,,0.01535641360632437,False
BAI1,,,,0.013473620589067196,False
BAI3,,,,0.011717512288154135,False
BAK1,,,,0.00027507200575865284,True
BAP1,,,,0.010516759358893523,True
BAT3,,,,0.014945421002989965,False
BAX,,,,0.023669661658010595,False
BCAR1,,,,0.043968313609917625,False
BCKDK,,,,0.040728105208406196,False
BCL10,,,,0.029476344930343724,False
BCL11A,,,,0.007350517588258058,True
BCL11B,,,,0.008556822167674588,True
BCL2,,,,2.1762564627049457e-05,True
BCL2A1,,,,0.10041451181873211,False
BCL2L1,,,,0.04036223399622856,False
BCL2L11,,,,0.03718498031682513,False
BCL2L2,,,,4.377729961882288e-06,True
BCL3,,,,0.03143200209981767,False
BCL6,,,,0.01288824917808527,False
BCL7A,,,,8.736069745113751e-06,True
BCL9,,,,0.012927127164218526,False
BCR,,,,0.020051537735203642,False
BGLAP,,,,4.266192209645643e-06,True
BID,,,,0.0002700068038232166,True
BIK,,,,0.02863897141615305,False
BIRC2,,,,0.014435289509356533,False
BIRC3,,,,0.02203763054442509,False
BIRC5,,,,0.04057978731422078,False
BIRC6,,,,0.014397851047572094,False
BLK,,,,0.020213405672867207,False
BLM,,,,0.006833309775247961,True
BLNK,,,,0.03835356722975019,False
BMF,,,,0.04510551489853847,False
BMI1,,,,0.017251578159032718,False
BMP2K,,,,0.028720105741756385,False
BMP4,,,,0.042546470432927454,False
BMPR1A,,,,0.014401198410008618,False
BMPR1B,,,,0.035424880380706895,False
BMPR2,,,,0.01736084028689581,False
BMX,,,,0.0027631200672922703,True
BNIP3,,,,0.06717697924676448,False
BOK,,,,4.266192209645643e-06,True
BRAF,0.0,0.0801174815984229,True,0.0030996497936984987,True
BRCA1,0.0,0.0028248474382039576,True,0.015460590642906464,False
BRCA2,0.0,0.008426459805025422,True,0.007029975938396106,True
BRCC3,,,,0.040391055836087826,False
BRD2,,,,0.021199285704440306,False
BRD3,,,,0.02538015314894503,False
BRD4,,,,0.02194188363111943,False
BRDT,,,,0.01824504322853722,False
BRF2,,,,0.13349900831804967,False
BRIP1,,,,0.0036357641319781143,True
BRSK1,,,,0.035284150081536826,False
BRSK2,,,,0.026803509941878852,False
BTG1,,,,0.03358843004638552,False
BTK,,,,0.028344208174499383,False
BTRC,,,,0.031717898945412465,False
BUB1,,,,0.016343115598589104,False
BUB1B,,,,0.018014397295472148,False
C15orf2,,,,0.006513040578072468,True
C15orf55,,,,0.022093739548988675,False
C17orf37,,,,0.10020758859756175,False
C6orf97,,,,0.02552514820232275,False
C9orf96,,,,0.02693937789749475,False
CABC1,,,,0.019319500583096196,False
CACNA1F,,,,0.020683090511476005,False
CACNB2,,,,0.01721254915218492,False
CAD,,,,0.011710254245847635,False
CAMK1,,,,0.03413469600293872,False
CAMK1D,,,,0.03137475252625465,False
CAMK1G,,,,0.0005852242025403257,True
CAMK2A,,,,0.0003484471329783701,True
CAMK2B,,,,0.04064700869897797,False
CAMK2D,,,,0.04049039086416756,False
CAMK2G,,,,0.0006892274817217873,True
CAMK4,,,,0.016236127900403456,False
CAMKK1,,,,0.057886100347340506,False
CAMKK2,,,,0.03634978554785549,False
CAMKV,,,,0.02345685880654664,False
CARD10,,,,0.005657594560665254,True
CARD11,,,,0.021060339400574907,False
CARD14,,,,0.010755833676286018,True
CARD9,,,,0.020994855358516126,False
CARS,,,,0.007689816149831517,True
CASC5,,,,-0.0004277495252786458,True
CASK,,,,0.012914926555203448,False
CASP1,,,,0.029132524003791436,False
CASP10,,,,0.0317456729362909,False
CASP2,,,,0.011455130822704948,False
CASP3,,,,0.00039129079027238933,True
CASP4,,,,0.01672467466078223,False
CASP6,,,,0.02875789049610765,False
CASP7,,,,0.015190305120294593,False
CASP8,,,,0.01788435090390839,False
CASP9,,,,0.0010709605244181685,True
CATSPERB,,,,0.01673315570050574,False
CBFA2T3,,,,0.02165772922906742,False
CBFB,,,,0.050153881640027945,False
CBL,,,,0.02672123943153203,False
CCDC50,,,,0.0451790424896615,False
CCDC56,,,,0.00014217922525606056,True
CCDC6,,,,0.002222670474177132,True
CCL3,,,,4.266192209645644e-06,True
CCL4,,,,0.00014654876004976806,True
CCNA1,,,,0.017861567324876888,False
CCNA2,,,,0.03391865242149908,False
CCNB1,,,,0.00034407287421030734,True
CCNB1IP1,,,,0.0006613056470853592,True
CCND1,1.0,,False,0.05743047280454459,False
CCND2,1.0,,False,0.03143408112397757,False
CCND3,1.0,,False,3.8950911379028985e-05,True
CCNE1,,,,0.00019573945947554448,True
CCNG1,,,,0.04055603319244144,False
CCNT1,,,,0.025967407235350907,False
CCR1,,,,0.028746180671642238,False
CCR4,,,,0.022734481581581534,False
CCR5,,,,0.029685983525004612,False
CD160,,,,0.0002435456406358935,True
CD40,,,,0.050332588802770355,False
CD40LG,,,,0.022579194699629997,False
CD44,,,,0.009294997072216147,True
CD79A,,,,0.06729737241133804,False
CD79B,,,,0.02554166575557992,False
CDC25A,,,,0.009371640952333376,True
CDC25C,,,,0.02807130343071278,False
CDC34,,,,0.08631668971777821,False
CDC42,,,,0.02872780068056976,False
CDC42BPA,,,,0.01592509147174838,False
CDC42BPB,,,,0.0151570156871657,False
CDC42BPG,,,,0.016170617816284365,False
CDC5L,,,,0.028592450807562248,False
CDC7,,,,0.009561366947719887,True
CDC73,,,,0.024873228799082974,False
CDH1,0.0,0.016708672081291495,True,0.013880646688735305,False
CDH11,,,,0.012622347666540112,False
CDH2,,,,0.01914201077065794,False
CDH3,,,,0.018742083074640294,False
CDK1,,,,0.025402109834778593,False
CDK10,,,,0.0005192940317589882,True
CDK11A,,,,0.029153465166014327,False
CDK11B,,,,0.03884551235126396,False
CDK12,,,,0.015234024316518107,False
CDK13,,,,0.02145793280264526,False
CDK14,,,,0.017596345487374827,False
CDK15,,,,0.04693763079207381,False
CDK16,,,,0.00015090583071068788,True
CDK17,,,,0.025055490373909223,False
CDK18,,,,0.03893923063925652,False
CDK19,,,,0.06710204871803369,False
CDK2,,,,0.01742437787718156,False
CDK20,,,,0.03703900195516688,False
CDK3,,,,0.044636736703537204,False
CDK4,1.0,,False,0.0001769473621772508,True
CDK5,,,,0.00043684007372419165,True
CDK6,1.0,,False,0.022451230546783895,False
CDK7,,,,0.05753431631274756,False
CDK8,,,,0.011041040612053087,False
CDK9,,,,4.75863655170449e-05,True
CDKL1,,,,0.037052699172875896,False
CDKL2,,,,0.024949588951611087,False
CDKL3,,,,0.009542549243338666,True
CDKL4,,,,0.01977570808726102,False
CDKL5,,,,0.017179609362197208,False
CDKN1A,,,,0.033447177566414646,False
CDKN1B,,,,0.00019397107799508926,True
